variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",2,1024,512,289,140.380723,140.439180,140.322265,140.439180,339614140,339755563,339472718,339755563,647.762566,3.734758,3.238035,119537258.500000,15578329.000000,0.130322,16014606.000000,1416.500000,78383057.000000,8187.000000,0.000104,14306347.500000,81.500000,0.000006,40681.000000,29449.000000,0.723901,5218.000000,5025.500000,0.963108,4.500000,0.000000,1378.000000,13432075.000000,56111.000000,0.004177,276440637.000000,0.813984
gen_16x16_1,generated 16*16,1,"6.7",2,16,16,289,0.179726,0.223116,0.136337,0.223116,434802,539772,329833,539772,1698.445312,1.424387,1.234943,140145.500000,7642.500000,0.054533,38139.000000,72.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110.000000,28.500000,0.259091,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,84.500000,11.500000,0.136095,420.000000,0.000966
gen_32x32_1,generated 32*32,1,"6.7",2,32,32,289,0.472592,0.525023,0.420160,0.525023,1143315,1270161,1016470,1270161,1116.518555,2.166776,1.878594,428880.000000,21064.000000,0.049114,105585.500000,78.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,841.000000,326.500000,0.388228,0.000000,0.000000,0.000000,0.000000,0.000000,23.500000,84.500000,10.000000,0.118343,420.000000,0.000367
gen_64x64_1,generated 64*64,1,"6.7",2,64,64,289,1.362890,1.374628,1.351151,1.374628,3297187,3325587,3268788,3325587,804.977295,3.005379,2.605664,1427802.000000,72598.500000,0.050846,326933.500000,143.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1588.000000,419.000000,0.263854,0.000000,0.000000,0.000000,0.000000,0.000000,21.500000,84.500000,11.000000,0.130178,420.000000,0.000127
gen_128x128_1,generated 128*128,1,"6.7",2,128,128,289,4.869191,4.894510,4.843872,4.894510,11779844,11841098,11718591,11841098,718.984619,3.364830,2.917307,164795.000000,122839.000000,0.745405,2189643.000000,415.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4264.000000,1939.500000,0.454855,1340.000000,2.500000,0.001866,0.000000,0.000000,33.000000,91.000000,12.500000,0.137363,448.000000,0.000038
gen_256x256_1,generated 256*256,1,"6.7",2,256,256,289,18.047507,18.221701,17.873312,18.221701,43661668,44083090,43240247,44083090,666.224182,3.631305,3.148341,4236027.500000,224270.500000,0.052944,3322480.500000,517.500000,14130020.000000,446.000000,0.000032,2932505.000000,13.000000,0.000004,9839.500000,2046.500000,0.207988,2747.500000,2584.000000,0.940491,8.500000,0.000000,112.500000,646484.000000,10336.500000,0.015989,16944537.500000,0.388087
gen_512x512_1,generated 512*512,1,"6.7",2,512,512,289,72.009111,72.078837,71.939385,72.078837,174210001,174378688,174041315,174378688,664.558414,3.640428,3.156251,59088377.500000,7387031.000000,0.125017,9393487.500000,950.500000,36328733.000000,3152.500000,0.000087,6981572.500000,53.500000,0.000008,30137.500000,9197.000000,0.305168,9438.500000,101.000000,0.010701,1.000000,0.000000,569.500000,6923263.000000,52097.500000,0.007525,137317971.000000,0.788232
gen_768x768_1,generated 768*768,1,"6.7",2,768,768,289,155.336993,156.261765,154.412220,156.261765,375803079,378040358,373565800,378040358,637.144435,3.797061,3.292052,143747661.500000,17928048.500000,0.124719,17897322.000000,867.000000,79689440.000000,8964.000000,0.000112,16615858.500000,4944.500000,0.000298,49992.000000,27994.000000,0.559970,235.000000,205.500000,0.874468,299.000000,0.000000,1329.500000,17206173.500000,91217.000000,0.005301,354818848.000000,0.944162
gen_1024x1024_1,generated 1024*1024,1,"6.7",2,1024,1024,289,269.116774,269.877855,268.355693,269.877855,651071972,652913249,649230695,652913249,620.910618,3.896361,3.378145,246728861.000000,31413920.500000,0.127322,32007563.500000,1485.000000,149736188.000000,9773.000000,0.000065,29238633.000000,196.000000,0.000007,63524.000000,46979.500000,0.739555,49535.000000,47551.000000,0.959948,0.500000,0.000000,1372.500000,28018467.500000,111459.000000,0.003978,575654144.500000,0.884164
gen_1280x1280_1,generated 1280*1280,1,"6.7",2,1280,1280,289,407.352728,408.352174,406.353282,408.352174,985495063,987912990,983077137,987912990,601.498452,4.022067,3.487132,395029242.000000,49459506.500000,0.125205,48182328.000000,1238.000000,225600061.500000,10059.500000,0.000045,47697575.500000,12050.500000,0.000253,71625.000000,59103.000000,0.825173,484.500000,450.000000,0.928793,0.500000,0.000000,1463.000000,44815801.500000,145862.000000,0.003255,945879046.500000,0.959801
gen_1536x1536_1,generated 1536*1536,1,"6.7",2,1536,1536,289,579.262161,580.055657,578.468666,580.055657,1401388014,1403307689,1399468339,1403307689,593.985669,4.072933,3.531233,575257941.000000,72734204.000000,0.126438,68056359.000000,1947.500000,328483610.000000,11114.000000,0.000034,67457892.500000,181.000000,0.000003,81915.500000,70813.000000,0.864464,16148.500000,4106.000000,0.254265,1.000000,0.000000,1347.500000,64200874.000000,173898.000000,0.002709,1336940443.000000,0.954012
gen_1792x1792_1,generated 1792*1792,1,"6.7",2,1792,1792,289,780.906442,781.843859,779.969024,781.843859,1889227653,1891495524,1886959782,1891495524,588.312781,4.112226,3.565300,772885319.000000,98458439.500000,0.127391,93083406.500000,2240.500000,449147685.500000,11824.500000,0.000026,91006754.500000,190.500000,0.000002,95030.000000,83870.500000,0.882569,29469.000000,19918.000000,0.675897,0.000000,0.000000,1535.000000,85855232.000000,200684.500000,0.002337,1794840864.500000,0.950039
