variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",2,1024,512,289,674.502201,675.730928,673.273474,675.730928,1631783590,1634756177,1628811003,1634756177,3112.380199,0.777296,0.673916,594690077.500000,15735132.500000,0.026459,115281609.500000,540.500000,338935009.000000,163.500000,0.000000,111724503.500000,786.000000,0.000007,6809.000000,4453.500000,0.654061,2.000000,1.500000,0.750000,16.500000,0.000000,255.500000,66122078.500000,55266.500000,0.000836,2006404597.000000,1.229578
gen_256x256_1,generated 256*256,1,"6.7",2,256,256,289,83.817626,84.114156,83.521096,84.114156,202776996,203494381,202059611,203494381,3094.131409,0.781888,0.677897,60271637.000000,1589426.500000,0.026371,16028979.500000,157.000000,47920910.500000,89.500000,0.000002,16043106.000000,3.000000,0.000000,863.000000,599.500000,0.694670,9757.000000,4890.000000,0.501179,7.000000,0.000000,152.000000,7299151.000000,24727.000000,0.003388,230175712.000000,1.135117
gen_384x384_1,generated 384*384,1,"6.7",2,384,384,289,190.107888,190.684122,189.531655,190.684122,459921713,461315775,458527651,461315775,3119.043735,0.775644,0.672483,164129266.500000,4335586.000000,0.026416,31905054.000000,158.500000,96778868.500000,85.500000,0.000001,32170478.000000,0.000000,0.000000,2487.500000,1908.000000,0.767035,1.500000,0.000000,0.000000,2.000000,0.000000,342.000000,18935396.500000,42236.500000,0.002231,576877789.000000,1.254296
gen_512x512_1,generated 512*512,1,"6.7",2,512,512,289,339.850590,340.926036,338.775143,340.926036,822193325,824795130,819591521,824795130,3136.418629,0.771351,0.668761,288415981.500000,7527467.500000,0.026099,58146826.500000,282.500000,171533106.500000,92.000000,0.000001,58414895.500000,45.000000,0.000001,5755.000000,5028.000000,0.873675,124.500000,17009.000000,136.618474,20.000000,0.000000,608.000000,33104690.500000,55218.500000,0.001668,1016139374.500000,1.235889
gen_768x768_1,generated 768*768,1,"6.7",2,768,768,289,763.829161,763.927717,763.730604,763.927717,1847907526,1848145961,1847669091,1848145961,3132.981238,0.772194,0.669492,645265479.000000,16999827.000000,0.026345,131221351.500000,654.500000,395089760.000000,125.000000,0.000000,130077993.500000,214.000000,0.000002,6344.500000,4489.000000,0.707542,0.000000,0.000000,0.000000,35.500000,0.000000,857.000000,74957589.000000,81313.000000,0.001085,2247356733.500000,1.216163
gen_1024x1024_1,generated 1024*1024,1,"6.7",2,1024,1024,289,1360.494245,1361.688003,1359.300486,1361.688003,3291400477,3294288499,3288512455,3294288499,3138.924100,0.770732,0.668224,1183750497.500000,31090263.000000,0.026264,229089167.000000,1308.500000,686404495.500000,106.500000,0.000000,227873245.000000,57.500000,0.000000,6693.000000,4005.000000,0.598386,97389.000000,77833.000000,0.799197,67.000000,0.000000,136.000000,132000358.500000,110379.000000,0.000836,4038435625.000000,1.226966
gen_1536x1536_1,generated 1536*1536,1,"6.7",2,1536,1536,289,3076.590274,3081.990712,3071.189836,3081.990712,7443100355,7456165469,7430035242,7456165469,3154.797175,0.766854,0.664863,2688889852.500000,70364421.500000,0.026169,512605893.500000,2612.000000,1539733446.000000,163.000000,0.000000,512967648.000000,91.000000,0.000000,12796.500000,8726.000000,0.681905,14883.500000,14636.500000,0.983404,39.500000,0.000000,873.000000,299871585.000000,167310.000000,0.000558,9191337417.000000,1.234880
gen_2048x2048_1,generated 2048*2048,1,"6.7",2,2048,2048,289,5510.013975,5512.898396,5507.129553,5512.898396,13330239626,13337217836,13323261416,13337217836,3178.176791,0.761215,0.659973,4769541017.000000,125514215.000000,0.026316,913910574.000000,4721.500000,2734982833.500000,962.500000,0.000000,912711492.500000,208758.000000,0.000229,61598.000000,18712.500000,0.303784,7056.500000,39489.500000,5.596188,1102.000000,0.000000,17661.500000,538254348.000000,221953.000000,0.000412,16257990157.000000,1.219632
gen_3072x3072_1,generated 3072*3072,1,"6.7",2,3072,3072,289,36754.732026,38361.168776,35148.295277,38361.168776,88922929651,92809478517,85036380786,92809478517,9422.612683,0.256761,0.222612,10703272340.000000,339119369.000000,0.031684,2040526327.000000,433631.500000,6242151038.000000,2352185.500000,0.000377,2048879998.000000,525531.000000,0.000256,1311452.500000,1224944.500000,0.934036,6525.500000,92.500000,0.014175,270047.000000,216726.500000,1557057.500000,1210289044.000000,339177.000000,0.000280,36601824691.000000,0.411613
gen_4096x4096_1,generated 4096*4096,1,"6.7",2,4096,4096,289,93052.248125,96633.695925,89470.800325,96633.695925,225127687739,233792530107,216462845371,233792530107,13418.655857,0.180299,0.156319,18982170073.500000,604191650.000000,0.031829,3693474380.500000,1189460.000000,10978409999.000000,4043348.000000,0.000368,3647182865.500000,536229.000000,0.000147,2321391.000000,2198044.500000,0.946865,5482.500000,49.000000,0.008938,518446.500000,449325.500000,3169963.000000,2145047489.500000,492086.000000,0.000229,64888308347.500000,0.288229
