variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",2,1024,512,289,152.619596,153.809533,151.429659,153.809533,369223095,372101835,366344356,372101835,704.237165,3.435260,2.978370,123323520.500000,14937311.000000,0.121123,15604760.500000,1947.000000,72215288.500000,318.500000,0.000004,15245196.500000,219.500000,0.000014,34632.500000,20595.000000,0.594673,338.000000,38910.500000,115.119822,5.500000,0.000000,255.500000,26530678.500000,56421.000000,0.002127,309175619.500000,0.837368
gen_256x256_1,generated 256*256,1,"6.7",2,256,256,289,17.675257,17.813270,17.537243,17.813270,42761289,43095181,42427398,43095181,652.485489,3.707782,3.214647,3804928.500000,969301.000000,0.254749,3250598.000000,355.500000,17761565.500000,164.500000,0.000009,2170942.000000,14.000000,0.000006,946.500000,646.500000,0.683043,9797.000000,7773.500000,0.793457,2.000000,0.000000,152.000000,433422.500000,2682.000000,0.006188,5329944.500000,0.124644
gen_384x384_1,generated 384*384,1,"6.7",2,384,384,289,41.831399,42.428696,41.234101,42.428696,101201752,102646780,99756724,102646780,686.318305,3.525008,3.056182,24121644.500000,3252369.000000,0.134832,6673369.500000,173.500000,24041833.000000,129.500000,0.000005,3401828.500000,12.000000,0.000004,5323.500000,1458.000000,0.273880,108.000000,79.500000,0.736111,7.000000,0.000000,342.000000,5276576.500000,26083.500000,0.004943,51730478.000000,0.511162
gen_512x512_1,generated 512*512,1,"6.7",2,512,512,289,78.872248,80.346905,77.397591,80.346905,190813458,194381055,187245862,194381055,727.895576,3.323653,2.881607,54336901.000000,6963178.000000,0.128148,9182714.000000,363.500000,42788821.000000,162.500000,0.000004,7986759.000000,68.500000,0.000009,5937.500000,1475.000000,0.248421,45020.500000,15779.500000,0.350496,0.000000,0.000000,608.000000,11027042.500000,46745.500000,0.004239,123647492.000000,0.648002
gen_768x768_1,generated 768*768,1,"6.7",2,768,768,289,179.769064,181.574038,177.964090,181.574038,434909214,439275927,430542502,439275927,737.354218,3.281009,2.844635,128888978.500000,15416087.000000,0.119607,18085506.500000,1552.000000,91118249.500000,446.000000,0.000005,18502318.000000,247.000000,0.000013,39638.500000,27827.500000,0.702032,62.000000,13.000000,0.209677,2.500000,0.000000,1112.500000,29430119.500000,76602.500000,0.002603,328319858.000000,0.754916
gen_1024x1024_1,generated 1024*1024,1,"6.7",2,1024,1024,289,430.727069,434.850334,426.603805,434.850334,1042047764,1052023081,1032072448,1052023081,993.774189,2.434433,2.110653,246458623.500000,30160663.500000,0.122376,31062898.500000,1588.500000,152050901.000000,383.000000,0.000003,30696232.500000,201.000000,0.000007,103209.000000,95903.500000,0.929216,57.000000,220.000000,3.859649,7.500000,0.000000,899.000000,52191073.500000,107121.000000,0.002052,572747343.500000,0.549636
gen_1536x1536_1,generated 1536*1536,1,"6.7",2,1536,1536,289,1118.316055,1125.753345,1110.878765,1125.753345,2705493549,2723486262,2687500836,2723486262,1146.737649,2.109686,1.829098,573522813.500000,70398917.500000,0.122748,66922797.000000,2093.500000,329430536.500000,422.500000,0.000001,68042215.000000,580.500000,0.000009,264752.500000,256368.000000,0.968331,149.500000,397.500000,2.658863,15.000000,0.000000,873.000000,121315801.500000,167785.000000,0.001383,1320839551.000000,0.488207
gen_2048x2048_1,generated 2048*2048,1,"6.7",2,2048,2048,289,2102.927912,2106.048673,2099.807151,2106.048673,5087560783,5095110762,5080010804,5095110762,1212.969013,1.994507,1.729237,1011727572.500000,124845084.500000,0.123398,119615325.000000,3233.500000,580921154.000000,386.500000,0.000001,123257250.500000,175.500000,0.000001,710715.000000,704276.000000,0.990940,26410.000000,4289.000000,0.162401,227.000000,0.000000,1820.500000,210587159.000000,224312.500000,0.001065,2346146010.500000,0.461153
gen_3072x3072_1,generated 3072*3072,1,"6.7",2,3072,3072,289,20683.145503,24716.943678,16649.347329,24716.943678,50038720988,59797686391,40279755586,59797686391,5302.293670,0.456274,0.395590,2278887856.500000,342249339.000000,0.150183,263787575.500000,1460933.500000,1317258071.000000,3288272.000000,0.002496,267267825.000000,220049.500000,0.000823,2935549.500000,2821955.500000,0.961304,13358.500000,1561.500000,0.116892,133503.500000,171187.000000,1215715.500000,490072587.000000,366601.500000,0.000748,5300326420.500000,0.105924
gen_4096x4096_1,generated 4096*4096,1,"6.7",2,4096,4096,289,79956.745931,82649.247237,77264.244625,82649.247237,193456747302,199971301373,186942193231,199971301373,11530.920702,0.209829,0.181921,4054112467.000000,609927978.000000,0.150447,477966111.500000,4566431.000000,2332168855.500000,5330742.500000,0.002286,469940788.000000,341343.500000,0.000726,4296921.000000,4076626.500000,0.948732,11443.000000,8348.000000,0.729529,172315.500000,449324.500000,3148749.000000,847799932.500000,467368.000000,0.000551,9144902753.000000,0.047271
