variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",2,1024,512,289,137.575785,137.751948,137.399622,137.751948,332829473,333255656,332403291,333255656,634.821840,3.810903,3.304053,120151520.500000,15706117.500000,0.130719,16669070.000000,1031.000000,75531076.500000,7873.000000,0.000104,14123416.000000,88.500000,0.000006,41363.500000,29566.000000,0.714785,36526.500000,13573.000000,0.371593,0.500000,0.000000,384.000000,25241759.500000,56867.500000,0.002253,279257758.000000,0.839042
gen_256x256_1,generated 256*256,1,"6.7",2,256,256,289,18.819444,19.257434,18.381453,19.257434,45529499,46589122,44469877,46589122,694.725021,3.482356,3.019203,5806316.500000,173960.500000,0.029961,3623597.000000,330.000000,11501332.000000,966.500000,0.000084,3447936.000000,16.500000,0.000005,7869.000000,1645.500000,0.209112,2740.000000,2592.500000,0.946168,26.500000,0.000000,112.500000,1940845.000000,18348.000000,0.009454,29627253.500000,0.650727
gen_384x384_1,generated 384*384,1,"6.7",2,384,384,289,40.665254,40.696665,40.633843,40.696665,98380782,98456774,98304790,98456774,667.187378,3.626093,3.143823,27334733.000000,1245679.000000,0.045571,7019041.500000,494.500000,19752217.000000,1062.500000,0.000054,3035412.500000,1110.000000,0.000366,23080.500000,5841.500000,0.253092,174.500000,79.500000,0.455587,26.000000,0.000000,302.500000,5342914.500000,28613.000000,0.005355,53495232.000000,0.543757
gen_512x512_1,generated 512*512,1,"6.7",2,512,512,289,73.388456,73.549889,73.227022,73.549889,177547598,177938152,177157045,177938152,677.290337,3.572006,3.096929,58729343.500000,7348597.500000,0.125127,9278049.500000,803.000000,37775458.000000,3116.000000,0.000082,6900746.500000,51.500000,0.000007,29409.000000,9467.000000,0.321908,9693.500000,1155.000000,0.119152,1.000000,0.000000,569.500000,12239125.000000,52039.000000,0.004252,134679283.500000,0.758553
gen_768x768_1,generated 768*768,1,"6.7",2,768,768,289,155.759886,156.152974,155.366797,156.152974,376826186,377777175,375875197,377777175,638.879032,3.786752,3.283114,146560995.500000,18055513.500000,0.123195,17435368.000000,864.000000,81655620.500000,8957.000000,0.000110,16563814.000000,4986.500000,0.000301,50656.500000,27857.000000,0.549920,262.500000,194.000000,0.739048,45.000000,0.000000,1329.500000,31487196.500000,90964.000000,0.002889,347131535.000000,0.921198
gen_1024x1024_1,generated 1024*1024,1,"6.7",2,1024,1024,289,265.650708,265.920138,265.381277,265.920138,642682984,643334812,642031157,643334812,612.910255,3.947198,3.422221,249673454.000000,31903367.500000,0.127780,31782105.000000,1120.000000,148463006.000000,9218.000000,0.000062,29458626.500000,43.500000,0.000001,64090.500000,46280.500000,0.722112,49977.500000,21657.500000,0.433345,2.000000,0.000000,1117.000000,52437560.500000,114672.000000,0.002187,581070835.000000,0.904133
gen_1536x1536_1,generated 1536*1536,1,"6.7",2,1536,1536,289,582.763704,583.830835,581.696574,583.830835,1409871562,1412453255,1407289869,1412453255,597.581466,4.048461,3.510015,572415792.000000,72747032.000000,0.127088,69219181.500000,2082.500000,327147251.500000,11769.000000,0.000036,66935433.500000,115.000000,0.000002,83900.000000,73263.500000,0.873224,15280.500000,14932.000000,0.977193,179.000000,0.000000,863.500000,119471656.000000,176148.000000,0.001474,1325569564.000000,0.940206
gen_2048x2048_1,generated 2048*2048,1,"6.7",2,2048,2048,289,1070.955444,1073.703302,1068.207586,1073.703302,2590937339,2597585168,2584289511,2597585168,617.727599,3.916413,3.395530,1008081060.500000,127634911.000000,0.126612,121385384.000000,3074.000000,592201257.000000,120218.500000,0.000203,122307111.500000,2138.500000,0.000017,529640.500000,363576.000000,0.686458,50141.000000,67052.000000,1.337269,18.000000,0.000000,9692.500000,211732915.000000,232858.000000,0.001100,2361800848.000000,0.911562
gen_3072x3072_1,generated 3072*3072,1,"6.7",2,3072,3072,289,18641.942309,20463.699538,16820.185080,20463.699538,45100798420,49508209633,40693387207,49508209633,4779.052567,0.506234,0.438905,2243544222.000000,306906781.000000,0.136796,272923599.000000,946053.000000,1334054099.000000,3200442.000000,0.002399,268590099.500000,98130.000000,0.000365,2875417.500000,2717560.000000,0.945101,249764.000000,164074.500000,0.656918,171929.000000,145890.500000,926081.000000,467084119.500000,817629.500000,0.001750,5060430059.500000,0.112203
gen_4096x4096_1,generated 4096*4096,1,"6.7",2,4096,4096,289,107462.974499,109017.965917,105907.983081,109017.965917,259992232695,263754325570,256230139821,263754325570,15496.744674,0.156121,0.135357,3986303535.000000,580997989.000000,0.145749,469699905.500000,5753372.000000,2444224429.500000,5961680.000000,0.002439,481531487.500000,241611.000000,0.000502,6056158.000000,5397828.500000,0.891296,893318.000000,193227.500000,0.216303,451151.000000,1367909.500000,2234915.000000,830484191.000000,1276967.000000,0.001538,9092787214.500000,0.034973
