variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",2,1024,512,289,140.283321,140.480934,140.085707,140.480934,339378593,339856667,338900519,339856667,647.313295,3.737351,3.240283,118822647.000000,15251660.500000,0.128357,16187836.500000,1138.000000,78626596.000000,8424.000000,0.000107,14907355.500000,79.000000,0.000005,39576.500000,29279.000000,0.739808,5679.000000,5582.500000,0.983008,1.500000,0.000000,1378.000000,13447295.500000,56085.500000,0.004171,276342833.500000,0.814261
gen_256x256_1,generated 256*256,1,"6.7",2,256,256,289,18.583748,19.300648,17.866848,19.300648,44959824,46694226,43225422,46694226,686.032471,3.526522,3.057495,5598456.500000,233377.000000,0.041686,3283612.000000,481.000000,12882132.500000,500.000000,0.000039,3146324.500000,16.500000,0.000005,10476.500000,1768.500000,0.168806,2743.000000,2573.500000,0.938206,10.000000,0.000000,112.500000,803844.000000,12832.000000,0.015963,21090753.000000,0.469102
gen_384x384_1,generated 384*384,1,"6.7",2,384,384,289,40.183317,40.246743,40.119890,40.246743,97214591,97368037,97061145,97368037,659.278639,3.669583,3.181528,25175132.500000,1106229.000000,0.043941,7112076.500000,530.000000,21120099.500000,1096.000000,0.000052,3343839.500000,489.500000,0.000146,21956.000000,5389.000000,0.245445,155.500000,84.000000,0.540193,141.500000,0.000000,302.500000,3010149.000000,27732.500000,0.009213,51875791.500000,0.533621
gen_512x512_1,generated 512*512,1,"6.7",2,512,512,289,72.385081,72.525752,72.244411,72.525752,175118581,175458900,174778262,175458900,668.024372,3.621520,3.139858,59732533.000000,7423404.500000,0.124277,9234986.500000,955.000000,36484398.000000,3141.500000,0.000086,7003263.500000,45.000000,0.000006,28884.000000,10044.000000,0.347736,9562.500000,109.000000,0.011399,0.500000,0.000000,569.500000,6887741.000000,52224.500000,0.007582,138043926.000000,0.788288
gen_768x768_1,generated 768*768,1,"6.7",2,768,768,289,156.619514,157.112044,156.126985,157.112044,378904332,380095892,377712772,380095892,642.402364,3.765967,3.265094,146084769.500000,18112418.500000,0.123986,17616706.000000,771.500000,80874147.000000,9040.500000,0.000112,16420390.000000,4918.000000,0.000300,50733.000000,28537.000000,0.562494,224.000000,200.500000,0.895089,585.500000,0.000000,1329.500000,17211293.500000,88587.500000,0.005147,344104936.500000,0.908158
gen_1024x1024_1,generated 1024*1024,1,"6.7",2,1024,1024,289,267.717928,268.790208,266.645648,268.790208,647680603,650274733,645086474,650274733,617.676356,3.916719,3.395796,247994776.000000,31787982.500000,0.128180,31400453.500000,1298.000000,150680794.500000,9438.000000,0.000063,29168061.500000,192.000000,0.000007,63814.500000,47655.000000,0.746774,49869.000000,48356.000000,0.969661,2.500000,0.000000,1372.500000,28031198.000000,111795.000000,0.003988,577054200.000000,0.890955
gen_1536x1536_1,generated 1536*1536,1,"6.7",2,1536,1536,289,584.216399,586.107477,582.325320,586.107477,1413385018,1417960073,1408809963,1417960073,599.070663,4.038394,3.501288,568315057.500000,71781165.000000,0.126305,69096146.000000,2117.500000,330450009.000000,10973.000000,0.000033,67646635.000000,171.000000,0.000003,81201.000000,70957.500000,0.873850,15017.500000,644.000000,0.042883,2.500000,0.000000,1347.500000,63639070.000000,172388.000000,0.002709,1327128746.000000,0.938972
gen_2048x2048_1,generated 2048*2048,1,"6.7",2,2048,2048,289,1054.881610,1056.472828,1053.290393,1056.472828,2552041656,2555891238,2548192074,2555891238,608.454145,3.976090,3.447270,1023606747.500000,129391050.000000,0.126407,120515767.500000,2898.500000,585878113.000000,42029.500000,0.000072,119105492.500000,17849.500000,0.000150,456902.000000,336386.500000,0.736233,66924.000000,48320.000000,0.722013,50.500000,0.000000,1261.000000,115134748.000000,228494.000000,0.001985,2351385788.000000,0.921374
gen_3072x3072_1,generated 3072*3072,1,"6.7",2,3072,3072,289,17955.209467,18378.250423,17532.168511,18378.250423,43438994757,44462456717,42415532798,44462456717,4602.961514,0.525596,0.455692,2278088772.500000,310748727.000000,0.136408,267613913.500000,803378.000000,1321799788.000000,3191022.500000,0.002414,268646190.500000,103291.000000,0.000384,2836874.500000,2630689.000000,0.927319,209789.500000,136696.000000,0.651586,161321.500000,140703.500000,891995.500000,254781396.000000,818289.500000,0.003212,5240651918.000000,0.120644
gen_4096x4096_1,generated 4096*4096,1,"6.7",2,4096,4096,289,121606.535555,122154.789144,121058.281966,122154.789144,294215111388,295541557290,292888665486,295541557290,17536.587202,0.137963,0.119614,3913142171.500000,571028356.500000,0.145926,502883516.500000,7455559.000000,2386576241.500000,5767426.500000,0.002417,470716323.500000,320884.000000,0.000682,6121385.000000,5380354.500000,0.878944,1397477.000000,214136.000000,0.153230,481916.000000,1436107.500000,2171827.000000,432141872.500000,1267750.000000,0.002934,8816783709.000000,0.029967
