variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",2,1024,512,289,125.637739,125.676137,125.599341,125.676137,303947814,304040709,303854920,304040709,579.734447,4.173014,3.618003,86505623.000000,15800436.000000,0.182652,15410950.000000,675.500000,53377659.000000,28994.500000,0.000543,15715537.500000,106.000000,0.000007,91511.000000,81543.000000,0.891073,191.000000,177.500000,0.929319,6.000000,0.000000,1378.000000,4598441.000000,16827.500000,0.003659,202555309.500000,0.666415
gen_256x256_1,generated 256*256,1,"6.7",2,256,256,289,15.651439,16.539188,14.763691,16.539188,37865079,40012784,35717374,40012784,577.775253,4.187219,3.630319,1725.500000,149064.000000,86.388873,4066859.000000,669.000000,10938305.500000,4209.500000,0.000385,2731105.000000,12.500000,0.000005,20989.500000,13375.500000,0.637247,2694.500000,2580.000000,0.957506,13.000000,0.000000,112.500000,143191.000000,346.500000,0.002420,7862425.500000,0.207643
gen_384x384_1,generated 384*384,1,"6.7",2,384,384,289,32.843300,33.597491,32.089108,33.597491,79457246,81281848,77632644,81281848,538.853936,4.489683,3.892555,29089267.500000,1826071.500000,0.062775,4951356.500000,388.500000,12611512.000000,4316.000000,0.000342,3122001.000000,1116.500000,0.000358,65877.000000,38048.000000,0.577561,108.000000,67.500000,0.625000,69.500000,0.000000,302.500000,1285737.000000,2199.500000,0.001711,49292729.500000,0.620368
gen_512x512_1,generated 512*512,1,"6.7",2,512,512,289,59.164768,59.338907,58.990629,59.338907,143135125,143556413,142713837,143556413,546.017170,4.430745,3.841456,39874602.500000,6570104.500000,0.164769,8515127.000000,589.000000,28919340.000000,13663.500000,0.000472,8542257.000000,61.500000,0.000007,68190.000000,46495.000000,0.681845,162.000000,88.000000,0.543210,0.500000,0.000000,569.500000,2097961.000000,3166.500000,0.001509,109092832.000000,0.762167
gen_768x768_1,generated 768*768,1,"6.7",2,768,768,289,125.059163,125.336794,124.781532,125.336794,302551472,303223135,301879809,303223135,512.952121,4.716360,4.089084,98197884.000000,17483383.000000,0.178042,17508962.500000,851.500000,60325431.000000,31715.000000,0.000526,17867448.000000,123.000000,0.000007,123985.500000,92870.000000,0.749039,252.000000,204.500000,0.811508,2.500000,0.000000,847.500000,5241328.500000,9302.000000,0.001775,228232617.500000,0.754360
gen_1024x1024_1,generated 1024*1024,1,"6.7",2,1024,1024,289,249.638598,249.932559,249.344638,249.932559,603943358,604654529,603232188,604654529,575.965269,4.200376,3.641726,172110404.500000,31985590.500000,0.185843,31385061.000000,1180.500000,106439334.000000,37799.500000,0.000355,31234725.500000,84.500000,0.000003,151446.500000,140126.000000,0.925251,375.000000,310.500000,0.828000,2.000000,0.000000,1117.000000,8795518.500000,38398.500000,0.004366,402997311.500000,0.667277
gen_1536x1536_1,generated 1536*1536,1,"6.7",2,1536,1536,289,475.405736,476.305929,474.505542,476.305929,1150139087,1152316907,1147961267,1152316907,487.492492,4.962700,4.302661,404279901.500000,75114098.500000,0.185797,68363002.500000,2175.500000,228789745.000000,32962.500000,0.000144,66853272.000000,17139.000000,0.000256,237930.000000,227245.500000,0.955094,840.000000,730.000000,0.869048,58.000000,0.000000,1092.000000,20973010.000000,98385.500000,0.004691,882871800.500000,0.767622
gen_2048x2048_1,generated 2048*2048,1,"6.7",2,2048,2048,289,830.819475,835.814171,825.824778,835.814171,2010126312,2022210731,1998041893,2022210731,479.251459,5.048394,4.376958,735654020.000000,136783177.500000,0.185934,115316610.000000,2612.000000,406610195.500000,119735.500000,0.000294,124076669.000000,3566.500000,0.000029,712636.000000,578860.000000,0.812280,46979.500000,49974.500000,1.063751,1.000000,0.000000,9181.500000,36363019.000000,126067.500000,0.003467,1590208594.000000,0.791099
gen_3072x3072_1,generated 3072*3072,1,"6.7",2,3072,3072,289,29221.525735,30785.027987,27658.023483,30785.027987,70699414706,74482197820,66916631593,74482197820,7491.579554,0.322953,0.280000,1590371061.500000,307409940.500000,0.193294,270401561.500000,1773807.000000,933942689.000000,4580118.500000,0.004904,271846564.500000,38106.000000,0.000140,1878563.000000,1695505.500000,0.902555,345219.000000,181914.000000,0.526952,234927.000000,278554.500000,1091576.000000,78380823.500000,319174.000000,0.004072,3420184918.000000,0.048376
gen_4096x4096_1,generated 4096*4096,1,"6.7",2,4096,4096,289,170090.588591,173306.807690,166874.369491,173306.807690,411500473264,419281478036,403719468492,419281478036,24527.339534,0.098637,0.085518,2756980265.500000,542259915.000000,0.196686,488802184.000000,18907382.500000,1705215477.000000,12757966.000000,0.007482,482295506.500000,455216.000000,0.000944,4411521.500000,3875391.000000,0.878470,1162480.000000,54864.500000,0.047196,837585.000000,3145415.000000,464781.500000,143793481.500000,541316.000000,0.003765,5852921405.500000,0.014223
