variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,10,1024,512,289,5906.048306,5905.803411,5904.675243,5910.080774,14288178697,14287586235,14284856920,14297934225,27252.538103,0.088771,0.076965,5892943251.700000,521357797.000000,0.088472,334978.500000,82236.800000,0.245499,2731176882.700000,685788.300000,0.000251,36108752981.699997,2.527177
gen_10x10_1,generated 10*10,6.700000,10,10,10,289,0.614205,0.612214,0.610410,0.627394,1485923,1481107,1476742,1517832,14859.230000,0.162812,0.141158,719999.200000,4854.900000,0.006743,6.200000,0.000000,0.000000,370258.200000,434.900000,0.001175,4435749.200000,2.985181
gen_13x13_1,generated 13*13,6.700000,10,13,13,289,1.272308,1.170846,1.165890,1.939429,3078044,2832581,2820591,4691983,18213.278107,0.132829,0.115163,1362209.700000,18668.600000,0.013705,11.600000,0.300000,0.025862,680423.700000,611.900000,0.000899,8378725.700000,2.722094
gen_16x16_1,generated 16*16,6.700000,10,16,16,289,1.899597,1.900133,1.893773,1.905198,4595627,4596925,4581537,4609178,17951.667969,0.134765,0.116842,2207873.500000,52290.700000,0.023684,16.400000,0.000000,0.000000,1084765.500000,765.300000,0.000705,13568274.500000,2.952432
gen_19x19_1,generated 19*19,6.700000,10,19,19,289,2.827815,2.831464,2.815778,2.833631,6841234,6850063,6812115,6855305,18950.786704,0.127660,0.110682,3257046.700000,124914.700000,0.038352,38.200000,0.000000,0.000000,1583333.700000,933.800000,0.000590,20004707.700000,2.924137
gen_22x22_1,generated 22*22,6.700000,10,22,22,289,3.951172,3.950662,3.933021,3.988948,9558933,9557699,9515020,9650324,19749.861570,0.122495,0.106203,4509606.000000,223924.400000,0.049655,96.600000,49.500000,0.512422,2176024.000000,1171.200000,0.000538,27687501.000000,2.896505
gen_25x25_1,generated 25*25,6.700000,10,25,25,289,5.270874,5.272683,5.258440,5.287761,12751609,12755986,12721529,12792463,20402.574400,0.118576,0.102806,5965632.200000,339054.300000,0.056835,28.200000,0.400000,0.014184,2862895.200000,1354.800000,0.000473,36616881.200000,2.871550
gen_28x28_1,generated 28*28,6.700000,10,28,28,289,6.810746,6.808873,6.793022,6.845735,16476984,16472453,16434105,16561633,21016.561224,0.115112,0.099802,7625113.700000,502561.600000,0.065909,45.400000,0.400000,0.008811,3643925.700000,1633.900000,0.000448,46792580.700000,2.839875
gen_31x31_1,generated 31*31,6.700000,10,31,31,289,8.558174,8.560430,8.534480,8.570384,20704554,20710010,20647232,20734092,21544.801249,0.112290,0.097356,9488048.200000,675700.800000,0.071216,53.000000,0.900000,0.016981,4519146.200000,1953.500000,0.000432,58214916.200000,2.811696
gen_34x34_1,generated 34*34,6.700000,10,34,34,289,10.558691,10.552224,10.532926,10.622985,25544272,25528626,25481939,25699816,22097.121107,0.109483,0.094922,11554449.900000,854569.500000,0.073960,216.900000,50.000000,0.230521,5488547.900000,2418.500000,0.000441,70883752.900000,2.774937
gen_37x37_1,generated 37*37,6.700000,10,37,37,289,12.824104,12.778522,12.748891,12.949050,31024966,30914693,30843008,31327246,22662.502557,0.106752,0.092554,13824279.700000,997233.500000,0.072136,267.300000,3.400000,0.012720,6552115.700000,2743.500000,0.000419,84799001.700000,2.733250
gen_40x40_1,generated 40*40,6.700000,10,40,40,289,15.245130,15.246218,15.204024,15.289844,36882091,36884722,36782644,36990266,23051.306875,0.104952,0.090993,16297574.800000,1338496.300000,0.082129,333.100000,11.100000,0.033323,7709862.800000,3142.300000,0.000408,99960865.800000,2.710282
gen_43x43_1,generated 43*43,6.700000,10,43,43,289,17.848933,17.861207,17.778930,17.968032,43181413,43211108,43012058,43469547,23353.928069,0.103592,0.089814,18974340.400000,1612512.000000,0.084984,337.000000,6.600000,0.019585,8961794.400000,3734.900000,0.000417,116369416.400000,2.694896
gen_46x46_1,generated 46*46,6.700000,10,46,46,289,20.563004,20.564901,20.521327,20.592736,49747447,49752039,49646620,49819379,23510.135633,0.102903,0.089217,21854543.200000,1720986.600000,0.078747,316.300000,14.800000,0.046791,10307893.200000,4081.500000,0.000396,134024610.200000,2.694100
gen_49x49_1,generated 49*49,6.700000,10,49,49,289,23.641355,23.626145,23.558984,23.906713,57194854,57158057,56995577,57836827,23821.263640,0.101559,0.088052,24938191.100000,2197638.000000,0.088123,423.100000,19.300000,0.045616,11748167.100000,4574.300000,0.000389,152926389.100000,2.673779
gen_52x52_1,generated 52*52,6.700000,10,52,52,289,26.739977,26.737543,26.692105,26.807468,64691031,64685141,64575216,64854309,23924.197855,0.101122,0.087673,28225301.800000,2537560.400000,0.089904,509.500000,109.900000,0.215702,13282617.800000,5051.100000,0.000380,173074792.800000,2.675406
gen_55x55_1,generated 55*55,6.700000,10,55,55,289,30.325378,30.309142,30.195588,30.681993,73365297,73326017,73051299,74228044,24252.990744,0.099751,0.086484,31715893.500000,2869433.900000,0.090473,429.300000,31.500000,0.073375,14911258.500000,5508.100000,0.000369,194469982.500000,2.650708
gen_58x58_1,generated 58*58,6.700000,10,58,58,289,33.925258,33.929692,33.868997,33.984484,82074309,82085035,81938199,82217592,24397.832640,0.099159,0.085971,35409889.900000,3253136.800000,0.091871,455.600000,46.700000,0.102502,16634051.900000,6028.700000,0.000362,217111650.900000,2.645306
gen_61x61_1,generated 61*61,6.700000,10,61,61,289,37.888181,37.849825,37.749925,38.105924,91661781,91568988,91327304,92188562,24633.641763,0.098210,0.085148,39307380.400000,3622332.300000,0.092154,407.300000,45.000000,0.110484,18451041.400000,6482.700000,0.000351,241000047.400000,2.629232
gen_64x64_1,generated 64*64,6.700000,10,64,64,289,41.512235,41.510456,41.464011,41.588263,100429266,100424963,100312600,100613200,24518.863770,0.098670,0.085547,43408315.600000,3376683.300000,0.077789,886.100000,166.200000,0.187563,20362199.600000,7044.200000,0.000346,266135124.600000,2.649976
gen_67x67_1,generated 67*67,6.700000,10,67,67,289,46.234409,46.210834,46.115085,46.544268,111853408,111796374,111564731,112603038,24917.221653,0.097092,0.084179,47712692.500000,4378186.400000,0.091761,484.900000,66.300000,0.136729,22367531.500000,7661.600000,0.000343,292516745.500000,2.615180
gen_70x70_1,generated 70*70,6.700000,10,70,70,289,50.995944,51.006684,50.907981,51.063221,123372860,123398844,123160055,123535621,25178.134694,0.096086,0.083307,52220527.200000,4990673.200000,0.095569,511.900000,83.100000,0.162336,24467038.200000,8198.200000,0.000335,320144983.200000,2.594938
gen_73x73_1,generated 73*73,6.700000,10,73,73,289,55.952601,55.947855,55.904269,56.050101,135363913,135352432,135246986,135599792,25401.372302,0.095241,0.082574,56931827.300000,5520834.900000,0.096973,615.100000,191.700000,0.311657,26660727.300000,8855.200000,0.000332,349019833.300000,2.578382
gen_76x76_1,generated 76*76,6.700000,10,76,76,289,60.908804,60.915307,60.857748,60.967467,147355288,147371021,147231771,147497211,25511.649584,0.094830,0.082218,61846550.300000,6027573.800000,0.097460,587.600000,161.300000,0.274506,28948579.300000,9467.400000,0.000327,379141086.300000,2.572972
gen_79x79_1,generated 79*79,6.700000,10,79,79,289,65.784931,65.790127,65.727356,65.878767,159151508,159164080,159012220,159378522,25500.962666,0.094870,0.082252,66964762.800000,6458311.900000,0.096443,563.900000,196.100000,0.347757,31330621.800000,10100.200000,0.000322,410508949.800000,2.579359
