variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,10,1024,512,289,5922.733261,5922.535159,5920.960335,5928.473123,14329571565,14329092273,14325282114,14343458694,27331.488733,0.088521,0.076748,2576483050.700000,229248278.600000,0.088977,529271385.300000,11051.900000,1474270642.600000,5175.600000,0.000004,528791288.500000,167.900000,0.000000,187843.000000,78740.100000,0.419180,10791.100000,9985.800000,0.925374,166.200000,0.000000,1.800000,1193767163.000000,271320.200000,0.000227,11274208466.799999,0.786779
gen_10x10_1,generated 10*10,6.700000,10,10,10,9,0.018311,0.018241,0.018173,0.018970,44301,44132,43968,45896,443.010000,5.461234,0.147453,21724.000000,23.500000,0.001082,144.000000,52.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,5.900000,0.081944,385.000000,0.008691
gen_13x13_1,generated 13*13,6.700000,10,13,13,9,0.035545,0.035406,0.035359,0.036696,85998,85663,85549,88783,508.863905,4.754504,0.128372,42250.000000,35.500000,0.000840,144.000000,36.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,7.600000,0.105556,385.000000,0.004477
gen_16x16_1,generated 16*16,6.700000,10,16,16,9,0.058809,0.058738,0.058615,0.059806,142281,142110,141813,144696,555.785156,4.353104,0.117534,69670.000000,47.500000,0.000682,144.000000,35.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,8.300000,0.115278,385.000000,0.002706
gen_19x19_1,generated 19*19,6.700000,10,19,19,9,0.087546,0.087484,0.087262,0.088535,211810,211659,211124,214204,586.731302,4.123538,0.111336,104026.000000,82.200000,0.000790,144.000000,30.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,6.200000,0.086111,385.000000,0.001818
gen_22x22_1,generated 22*22,6.700000,10,22,22,9,0.122719,0.122027,0.121795,0.128815,296909,295233,294673,311656,613.448347,3.943956,0.106487,145234.000000,93.700000,0.000645,144.000000,41.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,3.600000,0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,6.500000,0.090278,385.000000,0.001297
gen_25x25_1,generated 25*25,6.700000,10,25,25,9,0.270446,0.162519,0.161965,1.188544,654321,393202,391860,2875582,1046.913600,2.310998,0.062397,128743.200000,203.300000,0.001579,23275.800000,39.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.800000,0.100000,0.026316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75.600000,8.500000,0.112434,401.500000,0.000614
gen_28x28_1,generated 28*28,6.700000,10,28,28,9,0.210281,0.208777,0.208373,0.223417,508758,505120,504143,540540,648.926020,3.728343,0.100665,34823.700000,247.000000,0.007093,76727.300000,40.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.200000,0.300000,0.136364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.600000,8.000000,0.098039,429.000000,0.000843
gen_31x31_1,generated 31*31,6.700000,10,31,31,9,0.262785,0.261645,0.260920,0.272980,635786,633028,631274,660454,661.587929,3.656985,0.098739,222065.000000,327.300000,0.001474,31824.900000,45.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.400000,6.600000,0.088710,396.000000,0.000623
gen_34x34_1,generated 34*34,6.700000,10,34,34,9,0.321269,0.319615,0.319029,0.336862,777288,773289,771870,815015,672.394464,3.598236,0.097152,22118.800000,470.600000,0.021276,128426.300000,33.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.800000,9.000000,0.108696,434.500000,0.000559
