variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,5,1024,512,289,1061.948352,1061.827749,1057.882529,1067.599969,2569105981,2568814215,2559269788,2582778590,4900.180780,0.493704,0.428041,1453689353.800000,17934262.600000,0.012337,151428530.200000,2665.400000,838225273.400000,130.800000,0.000000,152438067.000000,79.200000,0.000001,15937.800000,8570.600000,0.537753,17283.200000,3465.000000,0.200484,19.400000,0.000000,102.800000,232976962.800000,223228.000000,0.000958,3248872888.200000,1.264593
gen_10x10_1,generated 10*10,6.700000,5,10,10,289,0.261528,0.261466,0.261301,0.262063,632703,632553,632155,633998,6327.030000,0.382368,0.331513,344971.200000,1741.000000,0.005047,164964.400000,36.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.800000,10.000000,0.130208,399.600000,0.000632
gen_13x13_1,generated 13*13,6.700000,5,13,13,289,0.391985,0.387815,0.387639,0.408911,948312,938224,937798,989259,5611.313609,0.431138,0.373797,62270.800000,2669.400000,0.042868,459350.000000,28.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.600000,12.000000,0.147059,421.200000,0.000444
gen_16x16_1,generated 16*16,6.700000,5,16,16,289,0.549502,0.547050,0.546330,0.559613,1329388,1323455,1321713,1353850,5192.921875,0.465876,0.403915,1318308.400000,3831.000000,0.002906,83773.400000,38.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.600000,1.000000,0.104167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,10.200000,0.141667,378.000000,0.000284
gen_19x19_1,generated 19*19,6.700000,5,19,19,289,0.749977,0.748506,0.746230,0.757225,1814386,1810830,1805323,1831922,5026.000000,0.481348,0.417329,2037390.200000,5282.200000,0.002593,51159.600000,29.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,8.400000,0.116667,378.000000,0.000208
gen_22x22_1,generated 22*22,6.700000,5,22,22,289,1.096954,1.090306,1.087927,1.108647,2653820,2637739,2631982,2682111,5483.099174,0.441222,0.382539,1859336.800000,6962.400000,0.003745,316724.600000,34.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.000000,10.800000,0.514286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.400000,10.400000,0.139785,388.800000,0.000147
gen_25x25_1,generated 25*25,6.700000,5,25,25,289,1.604647,1.448454,1.443935,2.222987,3882076,3504202,3493269,5378007,6211.321600,0.389494,0.337691,713084.800000,6247.400000,0.008761,826790.600000,104.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.600000,2.400000,0.093750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.000000,11.600000,0.138095,432.000000,0.000111
gen_28x28_1,generated 28*28,6.700000,5,28,28,289,1.779710,1.778687,1.770415,1.790516,4305583,4303107,4283096,4331726,5491.815051,0.440521,0.381932,165695.200000,5189.400000,0.031319,1156142.000000,119.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.800000,0.600000,0.037975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.400000,11.600000,0.134259,442.800000,0.000103
gen_31x31_1,generated 31*31,6.700000,5,31,31,289,2.373288,2.234767,2.156143,2.887306,5741605,5406487,5216274,6985149,5974.614984,0.404923,0.351069,817112.200000,10422.800000,0.012756,1209688.600000,86.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68.000000,8.400000,0.123529,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.000000,13.400000,0.159524,432.000000,0.000075
gen_34x34_1,generated 34*34,6.700000,5,34,34,289,2.573508,2.561650,2.547136,2.640157,6226008,6197320,6162207,6387249,5385.820069,0.449192,0.389450,1738234.600000,8953.400000,0.005151,1232329.600000,134.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91.600000,43.800000,0.478166,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,84.000000,13.000000,0.154762,432.000000,0.000069
