variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",10,1024,512,289,207.097786,206.457924,203.428038,211.642025,501019885,499471905,492141875,512013505,955.619593,2.531596,2.194894,131020190.800000,4754274.000000,0.036287,16102308.300000,2032.500000,75654070.300000,59725.900000,0.000789,16080015.900000,2702.300000,0.000168,487638.400000,165810.300000,0.340027,5460.000000,3999.800000,0.732564,227.500000,0.000000,1378.000000,26643968.100000,243286.600000,0.009131,355275203.300000,0.709104
gen_16x16_1,generated 16*16,1,"6.7",10,16,16,289,0.133406,0.132197,0.127051,0.144348,322742,319818,307368,349215,1260.710938,1.918955,1.663734,30332.700000,1273.800000,0.041994,30935.200000,92.600000,121037.600000,0.000000,0.000000,23161.800000,0.000000,0.000000,27.100000,28.300000,1.044280,162.100000,134.800000,0.831585,0.800000,0.000000,0.300000,7250.200000,26.500000,0.003655,102657.200000,0.318078
gen_32x32_1,generated 32*32,1,"6.7",10,32,32,289,0.443926,0.441868,0.425780,0.464207,1073971,1068993,1030072,1123036,1048.799805,2.306692,1.999902,90689.900000,3998.900000,0.044094,85534.400000,90.600000,362462.000000,0.000000,0.000000,64111.200000,0.000000,0.000000,239.800000,197.000000,0.821518,310.400000,263.000000,0.847294,0.900000,0.000000,0.000000,20553.500000,66.400000,0.003231,316740.000000,0.294924
gen_64x64_1,generated 64*64,1,"6.7",10,64,64,289,1.471836,1.476768,1.448484,1.495148,3560764,3572697,3504270,3617163,869.327148,2.782919,2.412791,931332.100000,22167.000000,0.023801,187680.300000,91.500000,886860.100000,0.000000,0.000000,197886.900000,0.000000,0.000000,468.500000,167.700000,0.357951,361.000000,226.800000,0.628255,2.600000,0.000000,0.000000,256788.400000,7719.900000,0.030063,4261718.800000,1.196855
gen_128x128_1,generated 128*128,1,"6.7",10,128,128,289,5.085371,5.087111,5.026364,5.163413,12302849,12307060,12160097,12491654,750.906311,3.221791,2.793292,3262542.300000,110769.300000,0.033952,867288.100000,271.900000,3121609.800000,48.400000,0.000016,368971.700000,17.400000,0.000047,2545.900000,912.700000,0.358498,789.500000,390.900000,0.495123,7.700000,0.000000,22.000000,642590.200000,8278.000000,0.012882,7721280.300000,0.627601
gen_256x256_1,generated 256*256,1,"6.7",10,256,256,289,18.796183,18.800494,18.666426,19.114322,45473043,45483472,45159127,46242707,693.863571,3.486665,3.022939,14976626.100000,427718.400000,0.028559,2226690.800000,292.600000,10649174.900000,401.900000,0.000038,2177822.500000,103.500000,0.000048,12650.600000,1745.000000,0.137938,1721.100000,1589.000000,0.923247,11.100000,0.000000,109.400000,3083443.600000,25130.600000,0.008150,39994333.600000,0.879517
gen_512x512_1,generated 512*512,1,"6.7",10,512,512,289,82.909108,82.932705,81.740965,85.053748,200580230,200637319,197754167,205768712,765.152855,3.161824,2.741301,64843957.700000,2267234.900000,0.034964,8310578.500000,754.300000,38678935.900000,6103.700000,0.000158,8112138.300000,564.700000,0.000070,91288.600000,30708.600000,0.336390,5684.700000,4909.900000,0.863704,42.400000,0.000000,508.800000,13322583.800000,113945.100000,0.008553,173033763.100000,0.862666
gen_768x768_1,generated 768*768,1,"6.7",10,768,768,289,204.128284,203.830180,202.268991,208.078083,493835339,493114155,489337264,503390851,837.258808,2.889477,2.505177,149208454.300000,5271175.800000,0.035328,18119952.300000,1571.100000,85680295.400000,31766.700000,0.000371,18141498.700000,2329.600000,0.000128,426601.900000,107910.300000,0.252953,13923.300000,11550.800000,0.829602,252.100000,0.000000,1172.800000,30171638.200000,259278.700000,0.008593,394583629.800000,0.799019
gen_1024x1024_1,generated 1024*1024,1,"6.7",10,1024,1024,289,404.465931,397.497967,393.405818,457.144119,978512833,961655438,951755421,1105955666,933.182557,2.592495,2.247693,263043257.600000,9368130.300000,0.035614,32197259.700000,3018.500000,152043774.800000,87353.300000,0.000575,32078039.600000,4295.900000,0.000134,805326.000000,249229.400000,0.309476,62985.200000,61992.600000,0.984241,214.900000,0.000000,1899.000000,53253608.000000,467559.500000,0.008780,709250813.000000,0.724825
gen_1280x1280_1,generated 1280*1280,1,"6.7",10,1280,1280,289,603.046543,602.898320,599.376991,610.641588,1458940716,1458582123,1450063029,1477315287,890.466746,2.716872,2.355528,412529711.300000,14885864.500000,0.036084,49758564.200000,4013.300000,238643820.300000,283566.200000,0.001188,49625278.400000,24992.500000,0.000504,1372309.600000,462352.300000,0.336915,15760.200000,10326.900000,0.655252,154.700000,0.000000,2072.200000,83703680.300000,719914.600000,0.008601,1096979452.500000,0.751901
gen_1536x1536_1,generated 1536*1536,1,"6.7",10,1536,1536,289,862.653521,863.229017,858.729816,865.364498,2087021080,2088413381,2077528446,2093579759,884.594845,2.734929,2.371183,591869372.600000,21133200.500000,0.035706,72156665.200000,8544.600000,339390391.300000,508358.500000,0.001498,72137599.500000,28796.900000,0.000399,2133404.400000,516983.300000,0.242328,60783.900000,76089.400000,1.251802,145.900000,0.000000,4760.400000,119904307.600000,1031112.200000,0.008599,1581302212.900000,0.757684
gen_1792x1792_1,generated 1792*1792,1,"6.7",10,1792,1792,289,1187.381684,1187.892367,1181.216214,1194.450074,2872601045,2873836529,2857685087,2889701415,894.539049,2.704492,2.344794,806840029.500000,28976467.700000,0.035914,98106586.600000,7355.300000,460426983.800000,850091.400000,0.001846,97839092.000000,54085.500000,0.000553,3142884.600000,960849.100000,0.305722,22448.000000,15271.400000,0.680301,594.600000,0.000000,6129.100000,163657812.300000,1406375.800000,0.008593,2159666057.300000,0.751816
gen_2048x2048_1,generated 2048*2048,1,"6.7",10,2048,2048,289,1555.795010,1555.727925,1550.012635,1564.881042,3763905852,3763743554,3749916659,3785887519,897.385085,2.695923,2.337365,1051443956.500000,39544036.800000,0.037609,127925446.800000,11340.100000,602627427.300000,1114269.700000,0.001849,128487211.300000,6569.500000,0.000051,4057962.900000,1641671.900000,0.404556,159583.000000,119582.400000,0.749343,39.000000,0.000000,1223.600000,213246798.600000,1836390.700000,0.008612,2815100597.000000,0.747920
gen_2304x2304_1,generated 2304*2304,1,"6.7",10,2304,2304,289,1977.158511,1933.516843,1910.914186,2299.530700,4783466629,4677881538,4623197479,5563402380,901.109979,2.684871,2.327783,1325575804.100000,47776964.800000,0.036042,163516686.000000,14007.800000,762306243.900000,920295.600000,0.001207,161358918.000000,43872.300000,0.000272,4446757.100000,1425305.200000,0.320527,50549.900000,17279.800000,0.341836,192.300000,0.000000,5218.600000,268753836.600000,2326756.100000,0.008658,3571281257.400000,0.746589
