variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",2,1024,512,289,138.887774,138.945228,138.830320,138.945228,336001517,336140512,335862523,336140512,640.872034,3.774904,3.272842,120073207.000000,15676355.500000,0.130557,16271761.500000,1048.500000,76164377.000000,7950.500000,0.000104,13957511.000000,76.500000,0.000005,41065.000000,30785.500000,0.749677,5482.500000,5407.500000,0.986320,1.000000,0.000000,1378.000000,12825198.000000,56725.500000,0.004423,276169785.500000,0.821930
gen_16x16_1,generated 16*16,1,"6.7",2,16,16,289,0.170729,0.211107,0.130351,0.211107,413038,510723,315353,510723,1613.429688,1.499452,1.300025,139289.500000,7661.500000,0.055004,28852.500000,66.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,141.500000,92.500000,0.653710,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,84.500000,10.500000,0.124260,420.000000,0.001017
gen_32x32_1,generated 32*32,1,"6.7",2,32,32,289,0.448306,0.492260,0.404352,0.492260,1084567,1190903,978231,1190903,1059.147461,2.284156,1.980363,427164.500000,21115.000000,0.049431,85538.000000,77.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,852.000000,454.000000,0.532864,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,84.500000,11.500000,0.136095,420.000000,0.000387
gen_64x64_1,generated 64*64,1,"6.7",2,64,64,289,1.351923,1.371091,1.332755,1.371091,3270653,3317025,3224281,3317025,798.499268,3.029759,2.626801,1424372.000000,48765.500000,0.034236,285376.000000,129.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1576.500000,754.000000,0.478275,0.000000,0.000000,0.000000,0.000000,0.000000,23.500000,84.500000,10.500000,0.124260,420.000000,0.000128
gen_128x128_1,generated 128*128,1,"6.7",2,128,128,289,4.816019,4.874520,4.757519,4.874520,11651206,11792734,11509679,11792734,711.133179,3.401980,2.949516,2813708.500000,139751.500000,0.049668,1491392.000000,295.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5112.000000,2615.500000,0.511639,58.500000,0.000000,0.000000,0.000000,0.000000,40.000000,91.000000,16.500000,0.181319,448.000000,0.000038
gen_256x256_1,generated 256*256,1,"6.7",2,256,256,289,18.049995,18.081792,18.018198,18.081792,43667791,43744717,43590866,43744717,666.317612,3.630804,3.147907,4655313.000000,128026.000000,0.027501,3515757.000000,405.500000,12048214.000000,574.500000,0.000048,3545670.500000,21.000000,0.000006,7223.500000,1782.500000,0.246764,1207.000000,1089.000000,0.902237,15.500000,0.000000,210.000000,1058464.500000,18220.000000,0.017214,29077134.000000,0.665871
gen_512x512_1,generated 512*512,1,"6.7",2,512,512,289,73.660626,73.762141,73.559112,73.762141,178205483,178451074,177959892,178451074,679.799969,3.558808,3.085486,59816596.500000,7462624.500000,0.124758,9736194.500000,1234.500000,32950671.500000,3065.500000,0.000093,6732567.000000,47.500000,0.000007,30759.500000,11631.000000,0.378127,204.000000,138.000000,0.676471,2.000000,0.000000,640.000000,6375166.000000,51107.000000,0.008017,132770186.000000,0.745040
gen_768x768_1,generated 768*768,1,"6.7",2,768,768,289,160.195214,160.201319,160.189108,160.201319,387555358,387570129,387540588,387570129,657.069495,3.681908,3.192214,146962833.500000,18589360.500000,0.126490,17486200.500000,717.500000,81032628.000000,8848.000000,0.000109,15859135.000000,5144.000000,0.000324,52175.500000,29756.000000,0.570306,287.500000,268.500000,0.933913,535.500000,0.000000,1401.000000,15685157.500000,85364.500000,0.005442,326118009.000000,0.841475
gen_1024x1024_1,generated 1024*1024,1,"6.7",2,1024,1024,289,275.516581,275.555715,275.477447,275.555715,666550341,666645017,666455666,666645017,635.671941,3.805854,3.299676,245191088.500000,30801595.000000,0.125623,31593806.500000,909.000000,147240321.500000,10433.000000,0.000071,31700090.000000,84.000000,0.000003,61925.000000,47193.500000,0.762107,43482.000000,46745.000000,1.075043,12.500000,0.000000,1187.500000,26646932.000000,113312.000000,0.004252,582976547.500000,0.874617
gen_1280x1280_1,generated 1280*1280,1,"6.7",2,1280,1280,289,420.130826,420.770263,419.491390,420.770263,1016410428,1017957398,1014863458,1017957398,620.367693,3.899738,3.381073,391438370.500000,49916996.000000,0.127522,48476688.000000,1329.500000,228510362.000000,10604.500000,0.000046,45584708.500000,19074.500000,0.000418,74574.500000,63042.000000,0.845356,868.500000,764.500000,0.880253,240.000000,0.000000,1534.500000,42081076.000000,141015.000000,0.003351,890938718.500000,0.876554
