variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",10,1024,512,289,70.543574,70.444364,69.221296,71.877314,170660278,170420267,167461400,173886885,325.508648,7.432116,6.443644,49438104.000000,9775994.200000,0.197742,8597739.300000,1448.600000,28608736.200000,27420.500000,0.000958,8452708.000000,2349.800000,0.000278,104833.200000,94972.600000,0.905940,5156.000000,4643.000000,0.900504,115.500000,0.000000,1378.000000,2423208.100000,5279.900000,0.002179,177406828.700000,1.039532
gen_16x16_1,generated 16*16,1,"6.7",10,16,16,289,0.099416,0.098474,0.089669,0.127433,240509,238231,216928,308288,939.488281,2.575041,2.232561,34327.800000,1477.800000,0.043050,39882.400000,167.600000,137011.600000,2.200000,0.000016,29872.200000,0.700000,0.000023,35.500000,31.800000,0.895775,624.900000,574.100000,0.918707,1.300000,0.000000,0.500000,2557.100000,54.300000,0.021235,105087.600000,0.436938
gen_32x32_1,generated 32*32,1,"6.7",10,32,32,289,0.287132,0.285519,0.275568,0.318188,694640,690740,666664,769774,678.359375,3.566307,3.091989,85562.200000,4239.600000,0.049550,101049.200000,218.200000,341951.200000,1.000000,0.000003,75747.300000,0.000000,0.000000,680.300000,509.800000,0.749375,662.200000,644.500000,0.973271,3.400000,0.000000,0.000000,5131.200000,23.100000,0.004502,273192.500000,0.393286
gen_64x64_1,generated 64*64,1,"6.7",10,64,64,289,0.861246,0.862535,0.755891,1.000969,2083558,2086678,1828680,2421584,508.681152,4.755903,4.123368,646427.100000,21963.000000,0.033976,252776.000000,461.600000,430910.000000,8.700000,0.000020,189536.100000,16.500000,0.000087,2695.900000,788.900000,0.292630,551.700000,466.800000,0.846112,7.700000,0.000000,4.000000,35403.000000,82.700000,0.002336,2287833.300000,1.098042
gen_128x128_1,generated 128*128,1,"6.7",10,128,128,289,2.675467,2.635908,2.578165,2.929770,6472914,6377208,6237506,7088165,395.075317,6.123791,5.309327,2055184.200000,118928.500000,0.057868,514535.900000,195.000000,1788523.200000,401.300000,0.000224,524418.900000,64.200000,0.000122,10942.800000,3791.700000,0.346502,365.000000,254.100000,0.696164,9.600000,0.000000,25.000000,124993.800000,267.800000,0.002143,7140804.800000,1.103182
gen_256x256_1,generated 256*256,1,"6.7",10,256,256,289,10.011843,9.885992,9.620046,10.507579,24221178,23916714,23273324,25420490,369.585846,6.545848,5.675250,7871516.300000,495901.100000,0.062999,1570900.300000,655.100000,4063676.800000,2194.300000,0.000540,1206294.400000,186.400000,0.000155,38001.300000,15959.700000,0.419978,1107.900000,1576.600000,1.423053,14.800000,0.000000,101.700000,380895.300000,690.700000,0.001813,25012530.100000,1.032672
gen_512x512_1,generated 512*512,1,"6.7",10,512,512,289,38.108932,38.052522,36.862154,40.400686,92195402,92058931,89179124,97739751,351.697548,6.878807,5.963926,24343190.900000,1844327.300000,0.075764,5394548.300000,1117.900000,16703854.100000,13158.400000,0.000788,4384078.100000,1257.100000,0.000287,78884.800000,52628.300000,0.667154,5951.700000,5489.700000,0.922375,41.600000,0.000000,501.100000,1225682.100000,2073.400000,0.001692,80380486.100000,0.871849
gen_768x768_1,generated 768*768,1,"6.7",10,768,768,289,80.089517,78.703080,78.159966,91.893861,193756392,190402258,189088330,222314027,328.498657,7.364559,6.385073,57361715.300000,10133026.700000,0.176651,9798849.600000,1950.300000,33551491.400000,29933.900000,0.000892,9787929.000000,2115.400000,0.000216,116099.000000,89715.000000,0.772746,4609.700000,8319.200000,1.804716,47.800000,0.000000,1165.100000,2885005.900000,10544.400000,0.003655,202450451.700000,1.044871
gen_1024x1024_1,generated 1024*1024,1,"6.7",10,1024,1024,289,132.041588,131.899866,130.223982,135.107483,319441650,319098790,315044407,326858819,304.643297,7.941256,6.885069,99762504.100000,19743184.500000,0.197902,16996365.100000,1615.700000,56972510.900000,35085.100000,0.000616,16743910.100000,1299.200000,0.000078,157622.400000,141172.000000,0.895634,31538.700000,25838.300000,0.819257,211.600000,0.000000,1022.600000,4852747.900000,5955.200000,0.001227,353849089.500000,1.107711
gen_1280x1280_1,generated 1280*1280,1,"6.7",10,1280,1280,289,207.697817,209.885741,190.464325,233.466079,502473234,507766373,460781085,564813138,306.685323,7.888383,6.839228,153031601.100000,31644531.100000,0.206784,26522021.300000,8226.400000,85821960.600000,35026.000000,0.000408,25706693.300000,20709.700000,0.000806,204456.300000,191526.100000,0.936758,14543.100000,11713.500000,0.805434,335.400000,0.000000,1093.600000,7718491.400000,8065.200000,0.001045,554010022.400000,1.102566
gen_1536x1536_1,generated 1536*1536,1,"6.7",10,1536,1536,289,273.418963,271.140171,263.138144,293.712712,661517677,656004302,636643970,710616957,280.387742,8.628867,7.481228,212879827.200000,46027322.900000,0.216213,37694907.300000,4567.900000,126211051.400000,37082.900000,0.000294,37070599.300000,4896.500000,0.000132,233573.400000,224692.400000,0.961978,11686.900000,14713.600000,1.258982,60.700000,0.000000,1022.400000,10373469.400000,43566.700000,0.004200,786242803.800000,1.188544
gen_1792x1792_1,generated 1792*1792,1,"6.7",10,1792,1792,289,358.301901,357.820188,356.752375,362.615994,866823444,865658058,863074747,877260333,269.932165,8.962453,7.770447,287533363.300000,62842855.800000,0.218558,50847791.100000,2338.800000,169118982.000000,32462.100000,0.000192,50345718.700000,8868.900000,0.000176,247560.300000,240303.100000,0.970685,2293.800000,18526.700000,8.076859,353.000000,0.000000,1164.700000,14217162.300000,60717.000000,0.004271,1066934987.400000,1.230856
gen_2048x2048_1,generated 2048*2048,1,"6.7",10,2048,2048,289,469.013941,468.656645,467.389629,472.598643,1134664549,1133800160,1130734923,1143336860,270.525110,8.942813,7.753419,382627794.700000,83561829.700000,0.218389,65420425.700000,2968.800000,219011385.000000,65159.400000,0.000298,65148517.000000,11908.300000,0.000183,772541.000000,647200.400000,0.837755,45814.600000,20947.900000,0.457232,251.500000,0.000000,1062.600000,19621836.700000,42067.500000,0.002144,1407069149.000000,1.240075
