variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",2,1024,512,289,135.216615,135.338973,135.094258,135.338973,327120677,327416689,326824665,327416689,623.933176,3.877393,3.361700,123407087.500000,16016923.500000,0.129789,16720926.500000,1397.500000,71557247.000000,7805.000000,0.000109,14515130.500000,96.500000,0.000007,41351.500000,30633.000000,0.740795,5536.000000,4299.500000,0.776644,0.500000,0.000000,1378.000000,25900699.000000,58381.500000,0.002254,286552269.500000,0.875983
gen_16x16_1,generated 16*16,1,"6.7",2,16,16,289,0.179994,0.221586,0.138403,0.221586,435450,536069,334831,536069,1700.976562,1.422267,1.233105,146418.000000,7658.500000,0.052306,38842.500000,71.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.500000,66.000000,0.556962,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,84.500000,12.000000,0.142012,420.000000,0.000965
gen_32x32_1,generated 32*32,1,"6.7",2,32,32,289,0.456313,0.492453,0.420173,0.492453,1103938,1191371,1016505,1191371,1078.064453,2.244074,1.945612,365118.500000,9852.500000,0.026984,125705.000000,213.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,560.500000,256.500000,0.457627,0.500000,0.000000,0.000000,0.000000,0.000000,23.500000,91.000000,13.500000,0.148352,448.000000,0.000406
gen_64x64_1,generated 64*64,1,"6.7",2,64,64,289,1.706491,1.839195,1.573788,1.839195,4128447,4449491,3807403,4449491,1007.921631,2.400247,2.081014,1455446.500000,52013.500000,0.035737,330082.000000,210.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1721.500000,450.000000,0.261400,0.000000,0.000000,0.000000,0.000000,0.000000,21.500000,84.500000,12.000000,0.142012,420.000000,0.000102
gen_128x128_1,generated 128*128,1,"6.7",2,128,128,289,5.012225,5.038846,4.985604,5.038846,12125876,12190279,12061474,12190279,740.104736,3.268808,2.834056,826524.000000,137942.000000,0.166894,2059757.500000,412.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3429.000000,1688.500000,0.492418,1321.500000,5.000000,0.003784,0.000000,0.000000,33.000000,91.000000,12.000000,0.131868,448.000000,0.000037
gen_256x256_1,generated 256*256,1,"6.7",2,256,256,289,18.567735,18.629774,18.505696,18.629774,44920322,45070411,44770234,45070411,685.429718,3.529563,3.060132,4516127.500000,157518.000000,0.034879,3595796.000000,326.500000,12774325.500000,626.000000,0.000049,3433975.500000,6.000000,0.000002,7947.000000,1935.000000,0.243488,2778.500000,2587.000000,0.931078,11.500000,0.000000,112.500000,1646210.000000,15546.000000,0.009444,25117543.500000,0.559158
gen_512x512_1,generated 512*512,1,"6.7",2,512,512,289,73.788192,73.805008,73.771376,73.805008,178513860,178554543,178473178,178554543,680.976334,3.552655,3.080152,58279643.500000,7313322.500000,0.125487,9252870.500000,984.000000,38476591.500000,3185.000000,0.000083,6812984.500000,36.000000,0.000005,29393.500000,8933.000000,0.303911,9622.500000,1081.000000,0.112341,0.000000,0.000000,569.500000,12143590.000000,51679.000000,0.004256,134243063.000000,0.752004
gen_768x768_1,generated 768*768,1,"6.7",2,768,768,289,155.734928,156.264233,155.205623,156.264233,376766271,378046807,375485735,378046807,638.777451,3.787358,3.283640,143231802.500000,17903403.500000,0.124996,18032675.500000,731.000000,79975026.500000,8992.500000,0.000112,16631682.000000,5074.500000,0.000305,50333.500000,28303.500000,0.562319,251.000000,190.000000,0.756972,0.500000,0.000000,1329.500000,31025946.500000,92217.000000,0.002972,352319319.000000,0.935114
gen_1024x1024_1,generated 1024*1024,1,"6.7",2,1024,1024,289,274.664738,274.825724,274.503752,274.825724,664491124,664880594,664101654,664880594,633.708118,3.817658,3.309909,245377589.000000,30490934.500000,0.124261,31785713.000000,1138.500000,148510906.500000,15141.500000,0.000102,32345862.500000,310.500000,0.000010,66569.000000,54820.000000,0.823506,43325.500000,49117.500000,1.133686,276.000000,0.000000,1377.500000,52524800.500000,116108.500000,0.002211,589977527.000000,0.887864
gen_1280x1280_1,generated 1280*1280,1,"6.7",2,1280,1280,289,409.935923,410.464199,409.407646,410.464199,991744532,993022575,990466490,993022575,605.312825,3.996722,3.465158,398027865.500000,49842362.000000,0.125223,47931130.000000,1107.000000,224747556.000000,10250.000000,0.000046,47124865.000000,34627.500000,0.000735,72748.500000,60542.000000,0.832210,534.500000,486.500000,0.910196,179.000000,0.000000,2740.500000,84633696.000000,149558.000000,0.001767,954643000.000000,0.962590
gen_1536x1536_1,generated 1536*1536,1,"6.7",2,1536,1536,289,590.870481,592.771113,588.969849,592.771113,1429474828,1434072969,1424876687,1434072969,605.890413,3.992916,3.461858,571590540.000000,72726573.500000,0.127235,68432787.000000,1748.000000,328299594.500000,21620.000000,0.000066,67969596.500000,16407.500000,0.000241,102222.500000,83913.000000,0.820886,14949.500000,14816.000000,0.991070,32.000000,0.000000,5435.500000,119671198.000000,176096.500000,0.001472,1327752834.500000,0.928840
gen_1792x1792_1,generated 1792*1792,1,"6.7",2,1792,1792,289,796.885880,799.285407,794.486354,799.285407,1927881661,1933686763,1922076560,1933686763,600.349788,4.029766,3.493808,781996296.500000,99037203.000000,0.126647,90484386.000000,1790.500000,450880509.000000,30180.500000,0.000067,90784444.000000,84617.500000,0.000932,130341.500000,107140.500000,0.821998,20676.500000,20457.500000,0.989408,2807.500000,0.000000,7411.500000,164115341.500000,206484.000000,0.001258,1805011159.500000,0.936267
gen_2048x2048_1,generated 2048*2048,1,"6.7",2,2048,2048,289,1074.684503,1079.771811,1069.597195,1079.771811,2599924742,2612232185,2587617300,2612232185,619.870363,3.902824,3.383748,1008115262.500000,127648505.000000,0.126621,119733341.500000,2744.500000,597126945.500000,166044.000000,0.000278,123440688.500000,4159.500000,0.000034,554998.000000,378614.000000,0.682190,85619.000000,91339.500000,1.066813,11.500000,0.000000,8926.000000,212727278.500000,233365.500000,0.001097,2380779448.500000,0.915711
gen_2304x2304_1,generated 2304*2304,1,"6.7",2,2304,2304,289,1421.614719,1426.579650,1416.649787,1426.579650,3439306553,3451318191,3427294916,3451318191,647.896953,3.734075,3.237443,1297624800.000000,152713955.500000,0.117687,153042672.500000,4618.500000,723182996.000000,151530.500000,0.000210,150320528.500000,155997.000000,0.001038,836694.500000,637576.000000,0.762018,192311.000000,172305.500000,0.895973,3177.000000,0.000000,12276.500000,272248603.500000,520249.000000,0.001911,2979123330.000000,0.866199
gen_2560x2560_1,generated 2560*2560,1,"6.7",2,2560,2560,289,1797.655431,1804.791506,1790.519356,1804.791506,4349038220,4366302410,4331774030,4366302410,663.610568,3.645637,3.160768,1605898931.000000,205710713.500000,0.128097,187986913.000000,5097.500000,890768644.500000,210577.000000,0.000236,183281308.000000,208774.000000,0.001139,1183062.500000,944009.000000,0.797937,184201.000000,174480.000000,0.947226,2957.000000,0.000000,15165.500000,336052448.500000,576297.500000,0.001715,3671118708.500000,0.844122
gen_2816x2816_1,generated 2816*2816,1,"6.7",2,2816,2816,289,2200.021917,2219.018898,2181.024937,2219.018898,5322493162,5368452386,5276533939,5368452386,671.196698,3.604444,3.125053,1910857637.000000,246345533.500000,0.128919,227501078.000000,6031.000000,1106420549.500000,299224.500000,0.000270,226586965.000000,77928.500000,0.000344,1366372.000000,1210870.000000,0.886194,217358.500000,185160.000000,0.851865,1127.000000,0.000000,12225.500000,401647652.000000,634511.000000,0.001580,4444304271.000000,0.835004
gen_3072x3072_1,generated 3072*3072,1,"6.7",2,3072,3072,289,18945.327191,19649.792580,18240.861803,19649.792580,45837339413,47541760709,44132918118,47541760709,4857.099259,0.498127,0.431876,2314186726.000000,308105312.500000,0.133138,260360997.000000,985210.000000,1341393352.500000,3216940.500000,0.002398,266157065.000000,159473.000000,0.000599,2841063.500000,2661577.500000,0.936824,235968.500000,148262.000000,0.628313,120204.500000,145207.500000,924552.000000,479654884.000000,839876.500000,0.001751,5199471115.000000,0.113433
