variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",2,1024,512,289,207.632768,208.429329,206.836207,208.429329,502312969,504240039,500385899,504240039,958.085955,2.525073,2.189239,121317867.500000,4513229.000000,0.037202,16825844.000000,2265.500000,78043045.000000,63033.500000,0.000808,16094270.500000,325.500000,0.000020,446923.500000,162470.500000,0.363531,6589.500000,5012.000000,0.760604,11.500000,0.000000,1378.000000,25903163.000000,224829.000000,0.008680,287448400.000000,0.572250
gen_16x16_1,generated 16*16,1,"6.7",2,16,16,289,0.136524,0.142513,0.130536,0.142513,330286,344774,315799,344774,1290.179688,1.875126,1.625734,146369.500000,6335.000000,0.043281,38839.000000,92.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,102.500000,92.000000,0.897561,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,84.500000,12.000000,0.142012,420.000000,0.001272
gen_32x32_1,generated 32*32,1,"6.7",2,32,32,289,0.429025,0.436008,0.422043,0.436008,1037921,1054813,1021029,1054813,1013.594727,2.386805,2.069360,442234.000000,19849.000000,0.044883,107104.000000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,830.000000,721.000000,0.868675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.500000,14.500000,0.171598,420.000000,0.000405
gen_64x64_1,generated 64*64,1,"6.7",2,64,64,289,1.421641,1.428217,1.415064,1.428217,3439330,3455241,3423420,3455241,839.680176,2.881178,2.497981,1455410.500000,60548.000000,0.041602,330083.500000,165.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1533.000000,599.000000,0.390737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.500000,12.500000,0.147929,420.000000,0.000122
gen_128x128_1,generated 128*128,1,"6.7",2,128,128,289,5.069000,5.076864,5.061135,5.076864,12263244,12282270,12244218,12282270,748.489014,3.232196,2.802314,2967568.000000,139765.000000,0.047097,1597002.000000,365.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5483.000000,2187.000000,0.398869,50.500000,0.000000,0.000000,0.000000,0.000000,16.000000,91.000000,14.000000,0.153846,448.000000,0.000037
gen_256x256_1,generated 256*256,1,"6.7",2,256,256,289,18.107719,18.161173,18.054264,18.161173,43807640,43936962,43678319,43936962,668.451538,3.619230,3.137872,4465599.500000,127149.000000,0.028473,3656028.500000,356.500000,12459578.000000,538.000000,0.000043,3650889.500000,7.500000,0.000002,7196.500000,1579.000000,0.219412,2764.000000,2594.000000,0.938495,10.000000,0.000000,133.000000,1879920.000000,17682.500000,0.009406,28676692.500000,0.654605
gen_512x512_1,generated 512*512,1,"6.7",2,512,512,289,80.963125,81.074649,80.851602,81.074649,195871516,196141322,195601711,196141322,747.190536,3.237820,2.807190,55497507.000000,2103308.500000,0.037899,8876025.500000,1616.000000,43241088.500000,6942.500000,0.000161,8361617.500000,74.000000,0.000009,89006.500000,31436.500000,0.353193,9065.000000,8237.000000,0.908660,12.500000,0.000000,590.000000,11898077.000000,99571.000000,0.008369,132216560.000000,0.675017
gen_768x768_1,generated 768*768,1,"6.7",2,768,768,289,197.474762,198.539744,196.409779,198.539744,477744215,480320692,475167739,480320692,809.977578,2.986832,2.589584,146305956.500000,5290631.000000,0.036161,18276403.500000,1902.500000,83540493.000000,31513.500000,0.000377,17294368.500000,221.500000,0.000013,424463.000000,115090.500000,0.271144,5038.000000,673.000000,0.133585,1.000000,0.000000,1350.000000,30739339.500000,256982.000000,0.008360,339292329.000000,0.710197
gen_1024x1024_1,generated 1024*1024,1,"6.7",2,1024,1024,289,388.794416,388.921003,388.667828,388.921003,940601120,940907370,940294871,940907370,897.027130,2.696993,2.338293,259887298.500000,9351571.000000,0.035983,32078149.500000,3324.500000,149104395.000000,44408.000000,0.000298,30701608.000000,171.500000,0.000006,738230.500000,258997.000000,0.350835,27434.000000,1678.500000,0.061183,1.000000,0.000000,1137.500000,54649867.500000,455974.000000,0.008344,601587319.000000,0.639578
gen_1280x1280_1,generated 1280*1280,1,"6.7",2,1280,1280,289,571.276049,576.304604,566.247493,576.304604,1382073399,1394238854,1369907945,1394238854,843.550659,2.867966,2.486526,406784735.500000,14346194.000000,0.035267,48615283.000000,4317.500000,237569064.500000,92934.000000,0.000391,49296081.000000,339.000000,0.000007,1073254.000000,368817.500000,0.343644,10664.000000,2061.500000,0.193314,4.500000,0.000000,1228.000000,86473086.000000,730302.000000,0.008445,960178913.500000,0.694738
