variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",2,1024,512,289,138.444904,138.907054,137.982755,138.907054,334930852,336048901,333812804,336048901,638.829903,3.786979,3.283311,85141420.500000,16300646.500000,0.191454,16241717.500000,1109.000000,52845508.000000,27186.000000,0.000514,14091040.500000,94.000000,0.000007,94687.500000,84706.500000,0.894590,4978.000000,3821.000000,0.767577,0.500000,0.000000,1378.000000,7075935.000000,16757.000000,0.002368,188280816.500000,0.562148
gen_16x16_1,generated 16*16,1,"6.7",2,16,16,289,0.142137,0.185926,0.098347,0.185926,343864,449802,237927,449802,1343.218750,1.801084,1.561540,96193.500000,7629.000000,0.079309,35144.500000,81.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,99.000000,0.495000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,84.500000,10.500000,0.124260,420.000000,0.001221
gen_32x32_1,generated 32*32,1,"6.7",2,32,32,289,0.347749,0.381159,0.314340,0.381159,841291,922117,760465,922117,821.573242,2.944650,2.553011,290081.000000,21269.500000,0.073323,97061.000000,69.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2579.500000,924.500000,0.358403,0.000000,0.000000,0.000000,0.000000,0.000000,23.500000,84.500000,12.500000,0.147929,420.000000,0.000499
gen_64x64_1,generated 64*64,1,"6.7",2,64,64,289,1.052019,1.092478,1.011560,1.092478,2545103,2642985,2447222,2642985,621.363037,3.893466,3.375635,975229.000000,58975.500000,0.060473,307349.000000,165.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8619.000000,1236.000000,0.143404,0.000000,0.000000,0.000000,0.000000,0.000000,21.500000,84.500000,11.000000,0.130178,420.000000,0.000165
gen_128x128_1,generated 128*128,1,"6.7",2,128,128,289,3.977890,4.042249,3.913532,4.042249,9623553,9779253,9467853,9779253,587.375061,4.118766,3.570970,2701173.500000,138267.000000,0.051188,1325916.000000,475.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23355.500000,7895.500000,0.338057,13.000000,0.000000,0.000000,0.000000,0.000000,33.000000,91.000000,13.000000,0.142857,448.000000,0.000047
gen_256x256_1,generated 256*256,1,"6.7",2,256,256,289,15.312706,15.514377,15.111035,15.514377,37045408,37533302,36557514,37533302,565.268066,4.279844,3.710625,1831391.000000,222048.500000,0.121246,3447304.500000,574.000000,13090298.500000,3757.500000,0.000287,2248070.500000,10.000000,0.000004,26075.000000,15098.500000,0.579041,2669.500000,2573.500000,0.964038,8.000000,0.000000,112.500000,34377.000000,350.000000,0.010181,1033999.000000,0.027912
gen_512x512_1,generated 512*512,1,"6.7",2,512,512,289,59.695805,60.088914,59.302697,60.088914,144420248,145371283,143469213,145371283,550.919525,4.391330,3.807283,40203363.000000,6519086.500000,0.162153,8384660.000000,428.500000,28669076.000000,13619.000000,0.000475,8369165.000000,48.500000,0.000006,69228.000000,46729.000000,0.675001,126.500000,92.500000,0.731225,0.500000,0.000000,569.500000,3924527.500000,15674.500000,0.003994,109941223.500000,0.761259
gen_768x768_1,generated 768*768,1,"6.7",2,768,768,289,126.508412,127.525819,125.491006,127.525819,306057937,308519318,303596557,308519318,518.897056,4.662330,4.042240,100814698.500000,17722153.500000,0.175789,16676858.000000,727.500000,60080057.500000,31540.000000,0.000525,17394764.000000,100.500000,0.000006,121578.000000,91469.500000,0.752352,233.500000,196.000000,0.839400,0.000000,0.000000,1329.500000,8812502.500000,22454.000000,0.002548,232612309.000000,0.760027
gen_1024x1024_1,generated 1024*1024,1,"6.7",2,1024,1024,289,257.478822,258.177521,256.780123,258.177521,622910848,624601189,621220507,624601189,594.054077,4.072475,3.530836,179475020.000000,33327181.500000,0.185693,30165933.000000,1029.500000,102898485.000000,36067.500000,0.000351,30026947.500000,206.500000,0.000007,159146.500000,143553.500000,0.902021,401.500000,333.500000,0.830635,4.000000,0.000000,1372.500000,15186636.000000,29041.500000,0.001912,403031328.000000,0.647013
gen_1280x1280_1,generated 1280*1280,1,"6.7",2,1280,1280,289,327.031358,327.256583,326.806133,327.256583,791172923,791717801,790628045,791717801,482.893630,5.009917,4.343598,277931400.500000,52305308.500000,0.188195,48508123.500000,1485.000000,158475742.500000,37496.500000,0.000237,46297214.500000,80.500000,0.000002,203165.000000,190288.000000,0.936618,9422.000000,8413.000000,0.892910,1.500000,0.000000,1207.500000,23342970.000000,36062.500000,0.001545,621014704.000000,0.784929
