variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1.700000,10,1024,512,289,3347.748965,3347.168968,3345.957947,3354.160810,8098473827,8097070769,8094141212,8113984596,15446.612982,0.156609,0.135780,5296164747.900001,40397709.000000,0.007628,33091.200000,11697.100000,0.353481,1819000891.800000,153828.400000,0.000085,22404288062.800003,2.766483
gen_6x6_1,generated 6*6,1.700000,10,6,6,289,0.170319,0.169090,0.168957,0.181241,412021,409049,408726,438442,11445.027778,0.211368,0.183256,267661.100000,830.000000,0.003101,1.000000,0.200000,0.200000,100474.100000,53.200000,0.000529,1143595.100000,2.775575
gen_7x7_1,generated 7*7,1.700000,10,7,7,289,0.241558,0.240549,0.240191,0.251242,584355,581915,581049,607781,11925.612245,0.202850,0.175871,381424.100000,980.800000,0.002571,0.700000,0.100000,0.142857,141058.100000,54.600000,0.000387,1627218.100000,2.784640
gen_8x8_1,generated 8*8,1.700000,10,8,8,289,0.325307,0.325349,0.324905,0.325954,786952,787055,785982,788519,12296.125000,0.196738,0.170571,515443.000000,1190.500000,0.002310,0.900000,0.000000,0.000000,188594.000000,57.200000,0.000303,2196520.000000,2.791174
gen_9x9_1,generated 9*9,1.700000,10,9,9,289,0.421731,0.421748,0.421220,0.422522,1020215,1020255,1018979,1022128,12595.246914,0.192065,0.166521,669718.000000,1419.600000,0.002120,0.900000,0.200000,0.222222,243082.000000,67.900000,0.000279,2851503.000000,2.795002
gen_10x10_1,generated 10*10,1.700000,10,10,10,289,0.536518,0.535094,0.534028,0.548007,1297895,1294451,1291870,1325689,12978.950000,0.186387,0.161597,844304.100000,1719.800000,0.002037,3.400000,1.400000,0.411765,304572.100000,354.300000,0.001163,3592419.100000,2.767881
gen_11x11_1,generated 11*11,1.700000,10,11,11,289,0.666079,0.657281,0.656334,0.739841,1611317,1590034,1587743,1789757,13316.669421,0.181660,0.157499,1039078.200000,2008.000000,0.001932,2.500000,0.100000,0.040000,372959.200000,342.700000,0.000919,4418728.200000,2.742308
gen_12x12_1,generated 12*12,1.700000,10,12,12,289,0.873172,0.802907,0.792315,1.469512,2112301,1942323,1916698,3554915,14668.756944,0.164916,0.142982,1254121.600000,2316.100000,0.001847,6.000000,0.700000,0.116667,448305.600000,416.300000,0.000929,5330766.600000,2.523678
gen_13x13_1,generated 13*13,1.700000,10,13,13,289,1.032509,0.957578,0.942511,1.714473,2497756,2316488,2280040,4147504,14779.621302,0.163679,0.141910,1489420.600000,2668.900000,0.001792,4.200000,0.700000,0.166667,530602.600000,432.300000,0.000815,6328475.600000,2.533664
gen_14x14_1,generated 14*14,1.700000,10,14,14,289,1.120819,1.117376,1.102494,1.173051,2711389,2703062,2667061,2837746,13833.617347,0.174872,0.151614,1744998.300000,3030.500000,0.001737,2.300000,0.200000,0.086957,619843.300000,430.500000,0.000695,7411802.300000,2.733581
gen_15x15_1,generated 15*15,1.700000,10,15,15,289,1.293946,1.289816,1.279707,1.317353,3130200,3120209,3095755,3186825,13912.000000,0.173887,0.150760,2020800.300000,3396.700000,0.001681,8.400000,1.800000,0.214286,716038.300000,525.300000,0.000734,8580831.300000,2.741304
gen_16x16_1,generated 16*16,1.700000,10,16,16,289,1.482886,1.482350,1.466214,1.502333,3587264,3585968,3546933,3634311,14012.750000,0.172636,0.149676,2316866.300000,3821.500000,0.001649,2.600000,0.000000,0.000000,819187.300000,593.400000,0.000724,9835558.300000,2.741799
gen_17x17_1,generated 17*17,1.700000,10,17,17,289,1.676500,1.676934,1.664099,1.685293,4055635,4056685,4025637,4076906,14033.339100,0.172383,0.149456,2633176.300000,4259.100000,0.001617,2.700000,0.000000,0.000000,929286.300000,635.400000,0.000684,11175945.300000,2.755659
