variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_512x512_bench1,generated 512*512,1,"6.7",2,512,512,289,340.740507,341.675261,339.805753,341.675261,824369853,826631348,822108359,826631348,3144.721424,0.769336,0.667014,287990002.000000,7554277.000000,0.026231,58893359.500000,339.000000,171919615.500000,83.000000,0.000000,58843317.000000,65.000000,0.000001,5768.500000,5215.000000,0.904048,47708.500000,24488.000000,0.513284,2.500000,0.000000,481.000000,33325951.500000,54841.500000,0.001646,1011921456.000000,1.227509
gen_512x1024_bench1,generated 512*1024,1,"6.7",2,512,1024,289,682.058693,684.542009,679.575377,684.542009,1650105850,1656113741,1644097959,1656113741,3147.327137,0.768685,0.666450,585122267.500000,15401709.000000,0.026322,116931766.000000,529.000000,344488308.000000,88.000000,0.000000,112267847.500000,190.500000,0.000002,10262.500000,9474.000000,0.923167,208.000000,208.000000,1.000000,12.500000,0.000000,961.500000,67006774.500000,109335.500000,0.001632,1989287299.500000,1.205551
gen_512x1536_bench1,generated 512*1536,1,"6.7",2,512,1536,289,1024.001067,1025.987172,1022.014963,1025.987172,2477359065,2482164035,2472554096,2482164035,3150.124950,0.767999,0.665855,897193202.000000,23381550.000000,0.026061,169738880.500000,907.000000,514172812.000000,87.500000,0.000000,171028480.500000,4.500000,0.000000,10403.000000,6238.500000,0.599683,1.000000,1.000000,1.000000,26.500000,0.000000,931.500000,101277738.000000,167873.500000,0.001658,3067021184.000000,1.238020
gen_512x2048_bench1,generated 512*2048,1,"6.7",2,512,2048,289,1365.087362,1368.219303,1361.955420,1368.219303,3302551597,3310128694,3294974501,3310128694,3149.558637,0.768138,0.665976,1186960274.500000,30957239.000000,0.026081,228814879.000000,954.000000,685482972.500000,102.000000,0.000000,229082534.000000,384.500000,0.000002,13191.000000,7798.000000,0.591161,401.500000,93823.500000,233.682441,29.500000,0.000000,1156.500000,135840046.500000,222152.500000,0.001635,4079036994.000000,1.235117
gen_512x2560_bench1,generated 512*2560,1,"6.7",2,512,2560,289,1711.239298,1715.230332,1707.248264,1715.230332,4140000608,4149656116,4130345101,4149656116,3158.569800,0.765948,0.664077,1483690425.500000,38866259.000000,0.026196,286792975.000000,1084.500000,859904431.000000,113.000000,0.000000,283124668.500000,206.500000,0.000001,18612.000000,10491.000000,0.563669,388.500000,606.500000,1.561133,99.000000,0.000000,1126.500000,169863245.000000,277207.000000,0.001632,5058012754.000000,1.221742
gen_512x3072_bench1,generated 512*3072,1,"6.7",2,512,3072,289,2065.430837,2071.115785,2059.745889,2071.115785,4996897342,5010650938,4983143746,5010650938,3176.941771,0.761519,0.660237,1783614291.500000,46612944.500000,0.026134,341844035.000000,1603.000000,1033689544.000000,102.000000,0.000000,340644576.500000,5.500000,0.000000,20419.500000,12179.500000,0.596464,45210.500000,44947.500000,0.994183,6.000000,0.000000,1096.000000,198458590.500000,332993.000000,0.001678,6083808033.000000,1.217517
gen_512x3584_bench1,generated 512*3584,1,"6.7",2,512,3584,289,2400.292273,2406.266235,2394.318310,2406.266235,5807028077,5821480887,5792575267,5821480887,3164.579161,0.764494,0.662816,2093628939.500000,54757886.500000,0.026155,397973627.500000,1357.500000,1198185797.500000,93.500000,0.000000,396636918.000000,968.000000,0.000002,23122.000000,12934.500000,0.559402,11169.000000,414.000000,0.037067,12.000000,0.000000,1066.000000,238450097.500000,391399.000000,0.001641,7134873438.000000,1.228662
gen_512x4096_bench1,generated 512*4096,1,"6.7",2,512,4096,289,2755.834398,2761.086823,2750.581972,2761.086823,6667186289,6679893475,6654479104,6679893475,3179.162163,0.760986,0.659775,2398093246.500000,62468941.000000,0.026049,453014598.500000,1871.000000,1370007651.000000,91.000000,0.000000,455906750.000000,3.500000,0.000000,26663.000000,15573.000000,0.584068,23032.000000,8661.500000,0.376064,142.500000,0.000000,1035.500000,274772293.000000,447323.500000,0.001628,8193099374.000000,1.228869
gen_512x4608_bench1,generated 512*4608,1,"6.7",2,512,4608,289,3104.428300,3109.146599,3099.710002,3109.146599,7510545978,7521960962,7499130995,7521960962,3183.384356,0.759978,0.658901,2699713753.000000,70412587.000000,0.026082,509822575.000000,1927.000000,1539615801.000000,111.500000,0.000000,511356344.000000,951.500000,0.000002,31054.000000,17064.500000,0.549511,14725.000000,14003.000000,0.950968,25.500000,0.000000,1005.500000,308677472.500000,504603.000000,0.001635,9234331880.000000,1.229515
gen_512x5120_bench1,generated 512*5120,1,"6.7",2,512,5120,289,3436.669999,3444.252494,3429.087505,3444.252494,8314319986,8332664280,8295975692,8332664280,3171.661372,0.762785,0.661335,2979439648.500000,77935675.000000,0.026158,569396898.000000,1982.000000,1719321903.000000,92.000000,0.000000,568288023.000000,219.000000,0.000000,32396.000000,18755.000000,0.578929,14247.500000,14223.500000,0.998315,2.000000,0.000000,1230.500000,340267934.000000,554871.500000,0.001631,10181502411.000000,1.224574
gen_512x5632_bench1,generated 512*5632,1,"6.7",2,512,5632,289,3788.045422,3790.402570,3785.688274,3790.402570,9164413690,9170116336,9158711045,9170116336,3178.133077,0.761233,0.659989,3294430706.000000,86008521.000000,0.026107,623193838.500000,2514.500000,1878590770.000000,117.500000,0.000000,626853801.500000,7556.500000,0.000012,27690.500000,13870.500000,0.500912,17314.500000,17015.500000,0.982731,223.500000,0.000000,1611.500000,369215925.500000,615325.000000,0.001667,11245063557.500000,1.227036
gen_512x6144_bench1,generated 512*6144,1,"6.7",2,512,6144,289,4132.870000,4138.525140,4127.214860,4138.525140,9998616368,10012297800,9984934937,10012297800,3178.474543,0.761149,0.659916,3580352553.000000,93610131.000000,0.026146,683144583.000000,2418.500000,2055294064.500000,107.500000,0.000000,682935409.500000,288.000000,0.000000,28585.500000,14352.000000,0.502073,17965.500000,17989.000000,1.001308,89.000000,0.000000,1939.500000,406055574.000000,667440.500000,0.001644,12227686846.000000,1.222938
