variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",2,1024,512,289,674.370568,675.347659,673.393476,675.347659,1631469558,1633833384,1629105733,1633833384,3111.781231,0.777448,0.674047,595341941.500000,15741680.500000,0.026441,115095437.500000,554.500000,340703590.500000,122.500000,0.000000,111523922.500000,887.500000,0.000008,5131.500000,3629.000000,0.707201,4.500000,0.000000,0.000000,15.500000,0.000000,257.000000,66164071.500000,55324.500000,0.000836,2009548984.500000,1.231742
gen_256x256_1,generated 256*256,1,"6.7",2,256,256,289,84.312161,84.352185,84.272136,84.352185,203973990,204070820,203877160,204070820,3112.396088,0.777302,0.673921,64885925.500000,1704647.000000,0.026271,16124389.500000,205.500000,43435423.500000,251.500000,0.000006,16157692.000000,23.500000,0.000001,910.000000,677.500000,0.744505,1159.000000,1004.500000,0.866695,7.000000,0.000000,354.000000,7778859.000000,26224.500000,0.003371,247199940.500000,1.211919
gen_384x384_1,generated 384*384,1,"6.7",2,384,384,289,190.409020,191.072559,189.745481,191.072559,460652330,462257615,459047045,462257615,3123.998549,0.774417,0.671420,165276555.000000,4332840.500000,0.026216,31906771.000000,179.000000,96840726.500000,86.500000,0.000001,32216708.000000,0.000000,0.000000,2438.500000,1896.000000,0.777527,0.500000,0.000000,0.000000,3.000000,0.000000,414.000000,19184767.000000,42311.500000,0.002205,577818589.500000,1.254349
gen_512x512_1,generated 512*512,1,"6.7",2,512,512,289,340.186404,341.008604,339.364203,341.008604,823004045,824993174,821014917,824993174,3139.511280,0.770589,0.668101,287815080.000000,7552040.500000,0.026239,58786407.000000,400.000000,172104321.000000,83.500000,0.000000,58775085.000000,93.000000,0.000002,5051.000000,4659.500000,0.922491,48760.500000,24270.000000,0.497739,3.000000,0.000000,481.000000,33119775.000000,54440.500000,0.001644,1002675046.000000,1.218311
gen_768x768_1,generated 768*768,1,"6.7",2,768,768,289,760.481350,762.183151,758.779549,762.183151,1839818188,1843935322,1835701054,1843935322,3119.266405,0.775593,0.672439,660209602.500000,17336686.500000,0.026259,129675889.000000,701.500000,389102281.000000,124.000000,0.000000,129611259.000000,0.000000,0.000000,6212.500000,4491.500000,0.722978,1.000000,0.500000,0.500000,18.000000,0.000000,634.500000,77952382.000000,83050.500000,0.001065,2308791716.500000,1.254902
gen_1024x1024_1,generated 1024*1024,1,"6.7",2,1024,1024,289,1365.911144,1368.485403,1363.336885,1368.485403,3304533416,3310761292,3298305540,3310761292,3151.448647,0.767675,0.665574,1188581824.500000,31011780.500000,0.026091,229186713.000000,920.000000,684452285.500000,130.500000,0.000000,229136791.000000,93.500000,0.000000,7310.500000,4508.000000,0.616647,459.000000,94911.000000,206.777778,3.000000,0.000000,901.000000,135958888.500000,111137.500000,0.000817,4086358128.500000,1.236592
gen_1536x1536_1,generated 1536*1536,1,"6.7",2,1536,1536,289,3097.063787,3116.182677,3077.944898,3116.182677,7492703149,7538957335,7446448963,7538957335,3175.821579,0.761785,0.660467,2689825878.000000,70146222.000000,0.026078,512798475.000000,1857.500000,1545675294.000000,195.500000,0.000000,514515767.500000,1191.000000,0.000002,16053.500000,11981.500000,0.746348,15161.000000,5389.500000,0.355484,27.500000,0.000000,1004.500000,302905401.500000,167748.000000,0.000554,9187620251.000000,1.226209
gen_2048x2048_1,generated 2048*2048,1,"6.7",2,2048,2048,289,5555.014193,5611.672988,5498.355397,5611.672988,13439192319,13576266398,13302118240,13576266398,3204.153137,0.755048,0.654627,4797549768.000000,125100700.500000,0.026076,910292448.000000,4930.000000,2740508478.000000,215.000000,0.000000,912877129.000000,407.500000,0.000000,21664.000000,15969.000000,0.737121,48647.500000,51593.000000,1.060548,142.000000,0.000000,1820.500000,557116274.000000,223284.500000,0.000401,16428520137.000000,1.222434
gen_3072x3072_1,generated 3072*3072,1,"6.7",2,3072,3072,289,36560.754598,39354.133773,33767.375423,39354.133773,88452736515,95210858301,81694614730,95210858301,9372.789226,0.258123,0.223793,10767182517.000000,341436270.000000,0.031711,2047168183.500000,321377.500000,6257501290.000000,2260270.000000,0.000361,2040423501.000000,401349.000000,0.000197,1288984.500000,1203726.000000,0.933856,6249.000000,62.000000,0.009922,261981.000000,223455.000000,1597732.500000,1222462329.500000,335451.000000,0.000274,36308263198.500000,0.410482
gen_4096x4096_1,generated 4096*4096,1,"6.7",2,4096,4096,289,99627.097301,102556.635579,96697.559023,102556.635579,241030950643,248118474171,233943427116,248118474171,14366.564193,0.168400,0.146003,19007927391.500000,599904285.500000,0.031561,3690813876.000000,762271.000000,11010330845.500000,4275019.000000,0.000388,3661815207.000000,842446.500000,0.000230,2474272.500000,2349065.500000,0.949396,125027.500000,114012.000000,0.911895,580237.000000,449301.000000,3200146.500000,2153812943.000000,500346.000000,0.000232,64470076996.500000,0.267476
