variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_512x512_bench2,generated 512*512,1,"6.7",2,512,512,289,345.076520,345.770873,344.382167,345.770873,834841212,836521056,833161369,836521056,3184.666489,0.759669,0.658633,289694984.500000,7439278.000000,0.025680,58019039.500000,658.500000,173153510.500000,3433.000000,0.000020,57976105.500000,59.000000,0.000001,29472.500000,10307.000000,0.349716,8343.000000,8182.500000,0.980762,9.000000,0.000000,599.000000,33180940.000000,54987.000000,0.001657,1016393384.000000,1.217469
gen_512x1024_bench2,generated 512*1024,1,"6.7",2,512,1024,289,688.070530,688.418971,687.722089,688.418971,1664643374,1665486355,1663800394,1665486355,3175.055264,0.761968,0.660627,578758736.000000,14921719.500000,0.025782,116359473.000000,893.500000,350613387.000000,8469.000000,0.000024,114597345.500000,104.000000,0.000001,58685.000000,22547.500000,0.384212,293.500000,182.500000,0.621806,33.500000,0.000000,1207.000000,66312754.000000,108919.000000,0.001643,1981820193.500000,1.190537
gen_512x1536_bench2,generated 512*1536,1,"6.7",2,512,1536,289,1031.179133,1031.533359,1030.824907,1031.533359,2494736266,2495593247,2493879285,2495593247,3172.221204,0.762653,0.661220,892780364.500000,23087793.500000,0.025861,172689660.000000,1748.000000,510294493.500000,6670.000000,0.000013,169390474.500000,154.000000,0.000001,86965.500000,30278.000000,0.348161,31998.000000,266.500000,0.008329,12.000000,0.000000,1305.000000,101467499.000000,166598.000000,0.001642,3045048544.000000,1.220589
gen_512x2048_bench2,generated 512*2048,1,"6.7",2,512,2048,289,1374.374534,1374.809513,1373.939554,1374.809513,3325015430,3326067774,3323963087,3326067774,3170.981817,0.762948,0.661476,1199287737.000000,30813760.000000,0.025693,227421886.500000,1577.500000,683042050.000000,4512.000000,0.000007,225463849.000000,4314.500000,0.000019,104117.000000,37382.000000,0.359038,535.000000,365.500000,0.683178,615.000000,0.000000,1146.500000,136355612.000000,223849.000000,0.001642,4072199266.500000,1.224716
gen_512x2560_bench2,generated 512*2560,1,"6.7",2,512,2560,289,1719.253509,1719.488729,1719.018289,1719.488729,4159378976,4159948043,4158809910,4159948043,3173.354321,0.762377,0.660981,1482383607.000000,38094993.000000,0.025698,285630730.000000,1908.000000,861033188.500000,4214.500000,0.000005,285975981.500000,122.500000,0.000000,127702.000000,41896.500000,0.328080,633.000000,457.500000,0.722749,10.000000,0.000000,1244.500000,169114874.500000,278809.000000,0.001649,5120666702.000000,1.231113
gen_512x3072_bench2,generated 512*3072,1,"6.7",2,512,3072,289,2072.414446,2073.146670,2071.682222,2073.146670,5013778274,5015549739,5012006810,5015549739,3187.674379,0.758952,0.658012,1786755510.000000,45745328.500000,0.025602,342993960.500000,2853.000000,1025907435.000000,8864.500000,0.000009,343084706.000000,220.500000,0.000001,143717.000000,50068.000000,0.348379,37624.500000,43865.500000,1.165876,27.500000,0.000000,1342.000000,203532998.500000,334570.000000,0.001644,6118494533.500000,1.220336
gen_512x3584_bench2,generated 512*3584,1,"6.7",2,512,3584,289,2411.347319,2414.760851,2407.933788,2414.760851,5833760315,5842018655,5825501976,5842018655,3179.147075,0.760989,0.659777,2081302688.000000,53385423.500000,0.025650,400930891.500000,2956.500000,1200073676.500000,4784.500000,0.000004,397050801.000000,63.500000,0.000000,168622.500000,57189.000000,0.339154,945.000000,680.000000,0.719577,165.500000,0.000000,1184.500000,237417339.000000,389617.500000,0.001641,7098555664.000000,1.216806
gen_512x4096_bench2,generated 512*4096,1,"6.7",2,512,4096,289,2749.816761,2750.049334,2749.584189,2750.049334,6652638744,6653201407,6652076081,6653201407,3172.225353,0.762652,0.661219,2391922303.000000,60967230.000000,0.025489,453884565.000000,3355.500000,1372425066.500000,5381.000000,0.000004,455524163.000000,104.500000,0.000000,175441.500000,60316.000000,0.343796,1111.500000,767.000000,0.690058,12.000000,0.000000,1281.500000,272754464.000000,447748.000000,0.001642,8184569577.500000,1.230274
gen_512x4608_bench2,generated 512*4608,1,"6.7",2,512,4608,289,3110.423182,3117.170619,3103.675745,3117.170619,7525039607,7541363665,7508715549,7541363665,3189.527557,0.758513,0.657631,2685767918.500000,69224210.000000,0.025774,513299394.000000,4075.500000,1541313667.000000,4443.000000,0.000003,510297284.000000,4128.000000,0.000008,210920.500000,70745.500000,0.335413,945.500000,824.500000,0.872025,370.000000,0.000000,1379.500000,306512845.000000,503181.500000,0.001642,9146232165.500000,1.215440
gen_512x5120_bench2,generated 512*5120,1,"6.7",2,512,5120,289,3440.874651,3441.747249,3440.002052,3441.747249,8324486134,8326597207,8322375061,8326597207,3175.539449,0.761853,0.660526,2971248201.500000,76173049.500000,0.025637,570599578.500000,4032.000000,1721013968.500000,13112.000000,0.000008,570605518.000000,125.000000,0.000000,222234.000000,75795.500000,0.341062,4748.000000,893.500000,0.188184,20.500000,0.000000,1221.000000,339186108.500000,555656.000000,0.001638,10173718754.500000,1.222144
