variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",10,1024,512,289,104.638727,102.554263,101.538478,120.543334,253145399,248102597,245645176,291622340,482.836531,5.010459,4.344068,70490876.600000,4482502.400000,0.063590,8889285.500000,2335.000000,40952729.200000,62279.300000,0.001521,8723202.900000,3694.700000,0.000424,660487.700000,251244.000000,0.380392,5433.100000,4467.500000,0.822275,27.500000,0.000000,1378.000000,8570077.200000,233711.400000,0.027271,164541146.500000,0.649987
gen_16x16_1,generated 16*16,1,"6.7",10,16,16,289,0.129462,0.120418,0.101432,0.204134,313213,291335,245399,493873,1223.488281,1.977421,1.714424,62845.300000,1306.700000,0.020792,29262.800000,154.800000,94167.400000,2.100000,0.000022,28370.500000,0.800000,0.000028,46.200000,55.300000,1.196970,107.300000,71.800000,0.669152,6.700000,0.000000,0.100000,12795.400000,47.200000,0.003689,240844.400000,0.768948
gen_32x32_1,generated 32*32,1,"6.7",10,32,32,289,0.332164,0.325500,0.313526,0.394286,803588,787467,758500,953879,784.753906,3.082816,2.672802,164801.300000,4789.600000,0.029063,73673.600000,127.800000,259566.700000,8.600000,0.000033,46474.900000,0.100000,0.000002,379.500000,314.800000,0.829513,162.000000,150.500000,0.929012,1.500000,0.000000,0.000000,26712.800000,43.300000,0.001621,560405.700000,0.697379
gen_64x64_1,generated 64*64,1,"6.7",10,64,64,289,0.770957,0.750277,0.717104,0.913308,1865141,1815109,1734856,2209524,455.356689,5.312874,4.606262,673895.700000,22169.300000,0.032897,146217.000000,83.100000,673828.600000,7.700000,0.000011,194871.200000,0.300000,0.000002,480.300000,364.800000,0.759525,190.200000,135.400000,0.711882,2.500000,0.000000,0.000000,106856.400000,156.400000,0.001464,2407366.500000,1.290716
gen_128x128_1,generated 128*128,1,"6.7",10,128,128,289,2.367950,2.361792,2.259002,2.639077,5728642,5713746,5465071,6384564,349.648560,6.919066,5.998830,2732511.900000,111362.200000,0.040755,431643.600000,195.400000,1567479.900000,61.300000,0.000039,435419.100000,54.400000,0.000125,4021.600000,1109.400000,0.275860,372.300000,416.200000,1.117916,19.600000,0.000000,20.000000,452203.400000,648.600000,0.001434,8716360.400000,1.521540
gen_256x256_1,generated 256*256,1,"6.7",10,256,256,289,8.337698,8.319091,8.089760,8.810223,20170952,20125937,19571129,21314107,307.784302,7.860203,6.814796,8242126.300000,405856.500000,0.049242,1380516.500000,435.800000,6629148.700000,390.800000,0.000059,1251375.600000,286.900000,0.000229,17381.600000,3225.100000,0.185547,1669.200000,1593.600000,0.954709,30.500000,0.000000,106.700000,1052004.100000,24221.900000,0.023025,21702495.900000,1.075928
gen_512x512_1,generated 512*512,1,"6.7",10,512,512,289,40.648890,40.086299,39.526910,44.696176,98346796,96985651,95632254,108138888,375.163254,6.448983,5.591268,37032170.600000,2246414.900000,0.060661,4757072.500000,1219.600000,21196508.700000,5889.000000,0.000278,4148118.400000,897.400000,0.000216,189951.500000,96909.200000,0.510179,5779.800000,5080.800000,0.879062,53.800000,0.000000,506.100000,4431353.900000,110253.500000,0.024880,83304125.700000,0.847045
gen_768x768_1,generated 768*768,1,"6.7",10,768,768,289,109.676909,109.522221,106.872107,112.966339,265335567,264961337,258550056,273293510,449.855494,5.377832,4.662580,79124779.500000,4861314.400000,0.061439,10151953.400000,2551.000000,47870114.200000,32747.700000,0.000684,10111236.600000,1390.000000,0.000137,656471.000000,263292.300000,0.401072,12777.100000,17217.800000,1.347551,32.700000,0.000000,659.100000,9670292.600000,251117.400000,0.025968,186542055.500000,0.703042
gen_1024x1024_1,generated 1024*1024,1,"6.7",10,1024,1024,289,206.234603,204.301773,200.542356,223.374784,498934488,494258476,485163482,540400990,475.821007,5.084384,4.408161,141954015.000000,8841128.000000,0.062282,17495138.800000,4743.500000,82313128.900000,45751.600000,0.000556,17757638.400000,1905.300000,0.000107,1126694.800000,390654.900000,0.346726,33201.200000,31075.900000,0.935987,145.600000,0.000000,1027.600000,17037331.600000,448328.900000,0.026315,335150551.300000,0.671733
gen_1280x1280_1,generated 1280*1280,1,"6.7",10,1280,1280,289,310.554625,312.200181,304.382748,319.827058,751307260,755288260,736375987,773739533,458.561560,5.275722,4.574051,221514073.200000,13978465.300000,0.063104,27383514.900000,5204.000000,127184108.800000,80728.200000,0.000635,26864883.000000,21606.800000,0.000804,1742410.800000,641544.000000,0.368193,7462.900000,5270.600000,0.706240,146.100000,0.000000,1149.700000,26450595.400000,689141.100000,0.026054,505342311.500000,0.672617
gen_1536x1536_1,generated 1536*1536,1,"6.7",10,1536,1536,289,452.964893,447.926826,441.831445,482.467531,1095833658,1083645334,1068899106,1167207808,464.474851,5.208563,4.515824,314884355.400000,19720820.000000,0.062629,39743761.200000,8184.000000,183025433.500000,131238.200000,0.000717,38773969.300000,4063.900000,0.000105,2434685.900000,757647.700000,0.311189,12899.900000,3861.400000,0.299336,152.800000,0.000000,1078.500000,37785860.600000,992174.500000,0.026258,728003226.500000,0.664337
gen_1792x1792_1,generated 1792*1792,1,"6.7",10,1792,1792,289,609.829793,610.024679,599.873561,624.464312,1475345667,1475817151,1451258810,1510750588,459.428333,5.265837,4.565480,432788246.800000,27202090.700000,0.062853,53234173.000000,10891.700000,246459246.500000,166403.800000,0.000675,52675893.300000,2709.700000,0.000051,3367625.300000,996446.600000,0.295890,28423.000000,15520.000000,0.546037,43.200000,0.000000,198.800000,51533428.400000,1365889.500000,0.026505,996592679.100000,0.675498
gen_2048x2048_1,generated 2048*2048,1,"6.7",10,2048,2048,289,796.433458,773.650605,760.015823,1020.045370,1926774834,1871657327,1838671325,2467748849,459.378918,5.266358,4.565933,558174191.400000,35619662.600000,0.063815,69540638.800000,15421.200000,322351329.100000,200223.300000,0.000621,69047067.700000,11251.500000,0.000163,4272820.500000,1922098.700000,0.449843,40299.100000,24104.800000,0.598147,190.200000,0.000000,1067.600000,66653798.800000,1766571.300000,0.026504,1289652435.700000,0.669332
