variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",10,1024,512,289,132.776292,132.665316,129.627293,138.331208,321215870,320947395,313597730,334654470,612.670650,3.948657,3.423485,72188879.900000,4595108.600000,0.063654,8785072.700000,3363.800000,41230905.700000,60096.900000,0.001458,8754818.300000,1443.300000,0.000165,560243.800000,205276.700000,0.366406,5047.300000,3596.100000,0.712480,70.700000,0.000000,1378.000000,14454902.400000,237007.400000,0.016396,260097290.400000,0.809727
gen_16x16_1,generated 16*16,1,"6.7",10,16,16,289,0.111941,0.110356,0.104947,0.126297,270810,266978,253892,305542,1057.851562,2.286926,1.982765,34325.800000,1284.800000,0.037430,29934.000000,111.500000,137010.800000,0.100000,0.000001,22410.900000,0.200000,0.000009,33.500000,35.200000,1.050746,93.700000,80.000000,0.853789,1.500000,0.000000,0.100000,6052.200000,23.100000,0.003817,116998.600000,0.432032
gen_32x32_1,generated 32*32,1,"6.7",10,32,32,289,0.442618,0.400870,0.341357,0.680816,1070797,969800,825824,1647055,1045.700195,2.313510,2.005813,85961.900000,3990.900000,0.046426,71817.600000,310.500000,429479.800000,0.000000,0.000000,17943.300000,0.000000,0.000000,270.600000,297.900000,1.100887,303.900000,297.400000,0.978611,0.000000,0.000000,0.000000,102.000000,17.400000,0.170588,513.000000,0.000479
gen_64x64_1,generated 64*64,1,"6.7",10,64,64,289,0.946371,0.942789,0.902131,0.985877,2289512,2280846,2182483,2385088,558.962891,4.328111,3.752472,463796.800000,14776.900000,0.031861,191234.800000,106.400000,695592.700000,8.300000,0.000012,165212.200000,1.000000,0.000006,501.300000,239.200000,0.477159,373.400000,205.400000,0.550080,3.600000,0.000000,0.000000,85564.000000,205.200000,0.002398,1900426.200000,0.830057
gen_128x128_1,generated 128*128,1,"6.7",10,128,128,289,3.005542,2.944893,2.893098,3.322389,7271161,7124436,6999131,8037694,443.796448,5.451263,4.726245,3754750.700000,138904.900000,0.036994,358870.700000,244.700000,1389162.400000,45.100000,0.000032,286586.600000,31.000000,0.000108,3909.900000,1223.500000,0.312924,368.800000,384.200000,1.041757,5.900000,0.000000,20.000000,531266.300000,12865.600000,0.024217,9423139.700000,1.295961
gen_256x256_1,generated 256*256,1,"6.7",10,256,256,289,10.620727,10.496005,10.277812,11.984299,25694078,25392345,24864484,28992885,392.060516,6.170576,5.349889,8878010.900000,449907.900000,0.050677,1460411.000000,374.000000,5410763.300000,345.400000,0.000064,1111679.000000,183.200000,0.000165,20606.700000,3569.100000,0.173201,1099.800000,1048.100000,0.952991,16.800000,0.000000,106.700000,1757695.900000,25212.100000,0.014344,28726366.100000,1.118015
gen_512x512_1,generated 512*512,1,"6.7",10,512,512,289,48.743737,48.525587,47.748561,50.973131,117923664,117395903,115516077,123317145,449.843079,5.378004,4.662729,34857198.300000,2087780.100000,0.059895,5036770.200000,1176.500000,22009919.500000,5827.100000,0.000265,4367762.000000,885.900000,0.000203,119864.300000,48801.500000,0.407140,2536.900000,3694.100000,1.456147,148.700000,0.000000,506.100000,6790703.600000,104395.200000,0.015373,120901947.900000,1.025256
gen_768x768_1,generated 768*768,1,"6.7",10,768,768,289,131.121301,128.912951,127.259369,146.706540,317214934,311872388,307871963,354919491,537.812863,4.498308,3.900033,82114475.000000,5016215.200000,0.061088,10107719.200000,2341.300000,45810756.100000,31271.500000,0.000683,10225485.800000,1216.300000,0.000119,503374.600000,190280.700000,0.378010,20055.600000,20246.800000,1.009533,17.300000,0.000000,1170.100000,16567681.500000,261550.100000,0.015787,301379444.200000,0.950080
gen_1024x1024_1,generated 1024*1024,1,"6.7",10,1024,1024,289,260.165112,260.266659,251.720576,272.499098,629449285,629694971,609018387,659290407,600.289617,4.030425,3.494379,140331623.300000,8761383.600000,0.062433,18001157.400000,3735.100000,83069333.400000,45956.300000,0.000553,17889379.700000,909.100000,0.000051,844185.500000,290971.100000,0.344677,14247.000000,22483.900000,1.578150,326.600000,0.000000,1078.700000,28363620.600000,449762.500000,0.015857,516629638.700000,0.820765
gen_1280x1280_1,generated 1280*1280,1,"6.7",10,1280,1280,289,369.609335,363.880250,357.794555,406.643092,894180199,880320067,865597202,983774397,545.764282,4.432788,3.843228,221412338.000000,13884117.700000,0.062707,28104525.800000,5780.400000,126168415.200000,83452.200000,0.000661,27802307.100000,1279.600000,0.000046,1323594.600000,457657.400000,0.345769,15720.800000,11292.600000,0.718322,40.900000,0.000000,178.800000,44892533.700000,710462.300000,0.015826,813497202.500000,0.909769
