variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,5,1024,512,289,949.717181,948.828333,948.339502,952.228651,2297633817,2295483444,2294300823,2303709771,4382.388720,0.552046,0.478624,669211732.400000,21932326.800000,0.032773,114635965.800000,1548.200000,382124904.400000,7874.800000,0.000021,114143083.200000,86.600000,0.000001,84466.600000,25622.200000,0.303341,16468.000000,7345.600000,0.446053,24.000000,74423044.800000,22555.200000,0.000303,2965343416.200000,1.290607
gen_10x10_1,generated 10*10,6.700000,5,10,10,289,0.126730,0.126431,0.126380,0.127665,306597,305875,305751,308860,3065.970000,0.789077,0.684130,208397.000000,1733.200000,0.008317,120.000000,38.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,9.600000,0.133333,378.000000,0.001233
gen_13x13_1,generated 13*13,6.700000,5,13,13,289,0.232069,0.229551,0.229241,0.242333,561441,555351,554601,586274,3322.136095,0.728233,0.631378,357714.600000,2626.200000,0.007342,6351.000000,45.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,8.000000,0.111111,378.000000,0.000673
gen_16x16_1,generated 16*16,6.700000,5,16,16,289,0.367372,0.363992,0.363702,0.380574,888781,880604,879901,920721,3471.800781,0.696841,0.604161,292938.200000,3826.000000,0.013061,89318.200000,35.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.800000,8.400000,0.109375,399.600000,0.000450
gen_19x19_1,generated 19*19,6.700000,5,19,19,289,0.529628,0.529355,0.529340,0.530644,1281325,1280664,1280629,1283783,3549.376731,0.681610,0.590956,880016.800000,5229.800000,0.005943,120.000000,37.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.400000,0.200000,0.037037,0.000000,0.000000,0.000000,0.000000,72.000000,7.400000,0.102778,378.000000,0.000295
gen_22x22_1,generated 22*22,6.700000,5,22,22,289,0.738081,0.735111,0.728931,0.753298,1785637,1778453,1763502,1822452,3689.332645,0.655755,0.568539,1109617.200000,7038.400000,0.006343,28945.400000,41.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.000000,4.200000,0.161538,0.000000,0.000000,0.000000,0.000000,72.000000,8.200000,0.113889,378.000000,0.000212
gen_25x25_1,generated 25*25,6.700000,5,25,25,289,0.984698,0.957679,0.955944,1.073058,2382157,2316793,2312598,2595917,3811.451200,0.634712,0.550296,1211045.400000,8879.000000,0.007332,110819.200000,34.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.600000,2.200000,0.289474,0.000000,0.000000,0.000000,0.000000,74.400000,10.600000,0.142473,388.800000,0.000163
gen_28x28_1,generated 28*28,6.700000,5,28,28,289,1.220785,1.218020,1.216151,1.232767,2953458,2946768,2942246,2982446,3767.165816,0.642210,0.556796,785951.600000,11020.400000,0.014022,362772.200000,42.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.800000,1.200000,0.040268,0.200000,0.000000,0.000000,0.000000,79.200000,8.200000,0.103535,410.400000,0.000139
gen_31x31_1,generated 31*31,6.700000,5,31,31,289,1.512351,1.508710,1.507749,1.520348,3658834,3650025,3647700,3678180,3807.319459,0.635434,0.550922,1006375.600000,12241.400000,0.012164,441876.600000,56.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.400000,0.400000,0.014085,0.000000,0.000000,0.000000,0.000000,76.800000,7.800000,0.101562,399.600000,0.000109
gen_34x34_1,generated 34*34,6.700000,5,34,34,289,1.837627,1.832800,1.831281,1.854787,4445771,4434093,4430418,4487285,3845.822664,0.629072,0.545405,622994.400000,10146.400000,0.016287,714055.600000,94.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.600000,9.600000,0.117647,421.200000,0.000095
